ID,TipoPersona,Sesso,TipoLesione
3709353,Conducente,M,Rifiuta cure immediate
3709353,Conducente,M,Illeso
3709369,Conducente,F,Illeso
3709408,Conducente,F,Illeso
3709408,Conducente,M,Illeso
3709445,Conducente,M,Rimandato
3709445,Conducente,M,Illeso
3709445,Passeggero,M,Illeso
3709674,Conducente,F,Illeso
3709719,Conducente,F,Illeso
3709731,Conducente,M,Illeso
3709743,Conducente,M,Illeso
3709743,Passeggero,M,Illeso
3709743,Passeggero,M,Illeso
3709753,Conducente,F,Illeso
3709753,Passeggero,M,Illeso
3709753,Conducente,M,Illeso
3709753,Passeggero,M,Illeso
3709755,Conducente,M,Illeso
3709755,Passeggero,M,Illeso
3709760,Pedone,F,Rimandato
3709760,Conducente,M,Illeso
3709766,Conducente,F,Illeso
3709766,Conducente,M,Illeso
3709788,Conducente,M,Illeso
3709788,Conducente,M,Prognosi riservata
3709845,Conducente,F,Illeso
3709845,Conducente,M,Rimandato
3709865,Conducente,M,Rifiuta cure immediate
3709865,Passeggero,M,Illeso
3709865,Conducente,F,Illeso
3709865,Passeggero,F,Illeso
3709875,Conducente,F,Illeso
3709875,Conducente,M,Illeso
3709907,Conducente,M,Illeso
3709907,Passeggero,F,Illeso
3709907,Conducente,M,Illeso
3709907,Passeggero,M,Illeso
3709907,Passeggero,F,Illeso
3709946,Conducente,M,Illeso
3709985,Pedone,M,Deceduto sul posto
3709985,Conducente,M,Illeso
3710151,Pedone,M,Rimandato
3710151,Conducente,F,Illeso
3710151,Passeggero,F,Illeso
3710153,Conducente,F,Illeso
3710203,Conducente,M,Illeso
3710203,Conducente,M,Rifiuta cure immediate
3710203,Passeggero,F,Rifiuta cure immediate
3710203,Conducente,M,Illeso
3710206,Conducente,M,Illeso
3710206,Passeggero,F,Illeso
3710206,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710268,Conducente,M,Illeso
3710268,Passeggero,M,Illeso
3710268,Conducente,F,Illeso
3710268,Passeggero,M,Illeso
3710269,Conducente,F,Illeso
3710269,Passeggero,F,Illeso
3710269,Passeggero,M,Illeso
3710278,Conducente,M,Rimandato
3710279,Conducente,M,Illeso
3710286,Conducente,F,Illeso
3710286,Passeggero,M,Illeso
3710291,Conducente,M,Illeso
3710291,Passeggero,F,Illeso
3710298,Conducente,F,Illeso
3710304,Conducente,M,Illeso
3710306,Conducente,M,Illeso
3710306,Conducente,M,Illeso
3710307,Conducente,F,Illeso
3710307,Passeggero,F,Illeso
3710307,Passeggero,F,Illeso
3710309,Conducente,M,Illeso
3710309,Passeggero,M,Illeso
3710309,Conducente,M,Rimandato
3710310,Conducente,F,Rimandato
3710310,Conducente,M,Illeso
3710312,Conducente,M,Ricoverato
3710312,Conducente,M,Illeso
3710312,Conducente,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Illeso
3710312,Passeggero,F,Rimandato
3710312,Passeggero,M,Rimandato
3710312,Passeggero,F,Illeso
3710312,Conducente,F,Illeso
3710321,Conducente,F,Illeso
3710321,Passeggero,F,Illeso
3710324,Conducente,F,Illeso
3710325,Conducente,F,Rimandato
3710325,Conducente,M,Illeso
3710326,Conducente,M,Illeso
3710326,Passeggero,F,Illeso
3710326,Passeggero,F,Illeso
3710326,Conducente,F,Illeso
3710332,Conducente,M,Rifiuta cure immediate
3710332,Passeggero,M,Rimandato
3710332,Passeggero,M,Rimandato
3710332,Conducente,M,Illeso
3710335,Conducente,F,Illeso
3710341,Conducente,M,Illeso
3710341,Conducente,F,Rimandato
3710354,Conducente,F,Illeso
3710369,Conducente,M,Illeso
3710383,Conducente,F,Illeso
3710411,Conducente,M,Illeso
3710450,Conducente,M,Illeso
3710450,Conducente,F,Illeso
3710450,Passeggero,M,Illeso
3710452,Conducente,M,Illeso
3710452,Conducente,F,Illeso
3710463,Pedone,F,Prognosi riservata
3710463,Conducente,M,Illeso
3710476,Conducente,M,Illeso
3710476,Conducente,M,Illeso
3710504,Conducente,M,Illeso
3710504,Conducente,F,Illeso
3710504,Passeggero,M,Illeso
3710509,Conducente,M,Illeso
3710509,Passeggero,M,Illeso
3710535,Conducente,M,Rifiuta cure immediate
3710535,Passeggero,F,Illeso
3710676,Pedone,F,Rimandato
3710676,Pedone,M,Rimandato
3710676,Conducente,M,Illeso
3710693,Conducente,M,Illeso
3710693,Conducente,M,Illeso
3710693,Passeggero,F,Illeso
3710693,Passeggero,M,Illeso
3710693,Passeggero,F,Illeso
3710759,Conducente,M,Illeso
3710759,Passeggero,F,Illeso
3710759,Conducente,M,Illeso
3710771,Conducente,M,Illeso
3710775,Conducente,M,Illeso
3710777,Conducente,M,Illeso
3710777,Conducente,M,Illeso
3710787,Conducente,M,Illeso
3710804,Conducente,F,Illeso
3710804,Conducente,M,Illeso
3710893,Conducente,F,Illeso
3710901,Conducente,M,Illeso
3710901,Passeggero,M,Illeso
3710901,Conducente,F,Illeso
3710901,Passeggero,M,Illeso
3710917,Conducente,F,Rifiuta cure immediate
3710917,Conducente,F,Rimandato
3710917,Passeggero,F,Illeso
3710933,Conducente,F,Illeso
3710933,Conducente,M,Illeso
3710942,Conducente,M,Illeso
3710966,Conducente,F,Illeso
3710966,Conducente,M,Illeso
3710991,Conducente,M,Illeso
3710991,Passeggero,M,Illeso
3711096,Conducente,M,Illeso
3711096,Conducente,F,Illeso
3711096,Conducente,M,Illeso
3711096,Conducente,M,Rimandato
3711096,Conducente,M,Rimandato
3711109,Conducente,M,Illeso
3711122,Pedone,M,Ricoverato
3711122,Conducente,M,Illeso
3711125,Conducente,F,Illeso
3711125,Conducente,M,Illeso
3711126,Conducente,M,Illeso
3711130,Conducente,F,Illeso
3711130,Conducente,M,Illeso
3711190,Conducente,M,Illeso
3711190,Conducente,M,Illeso
3711193,Conducente,M,Illeso
3711198,Conducente,M,Illeso
3711198,Conducente,F,Illeso
3711198,Passeggero,F,Illeso
3711198,Passeggero,F,Illeso
3711198,Passeggero,F,Illeso
3711208,Conducente,M,Illeso
3711228,Conducente,F,Illeso
3711228,Passeggero,F,Illeso
3711228,Conducente,M,Rifiuta cure immediate
3711252,Conducente,M,Illeso
3711520,Conducente,M,Illeso
3711520,Conducente,M,Rimandato
3711586,Conducente,M,Illeso
3711586,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711589,Passeggero,F,Rimandato
3711589,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711592,Conducente,M,Illeso
3711592,Conducente,F,Illeso
3711593,Conducente,F,Rimandato
3711594,Conducente,M,Illeso
3711595,Conducente,M,Illeso
3711596,Conducente,M,Illeso
3711599,Conducente,F,Illeso
3711599,Passeggero,F,Illeso
3711600,Conducente,M,Illeso
3711601,Conducente,M,Illeso
3711602,Conducente,M,Illeso
3711637,Conducente,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Conducente,M,Rimandato
3711637,Passeggero,F,Rimandato
3711637,Passeggero,F,Rimandato
3711637,Passeggero,M,Rimandato
3711637,Conducente,M,Illeso
3711637,Passeggero,F,Illeso
3711637,Passeggero,F,Illeso
3711637,Conducente,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Passeggero,M,Illeso
3711642,Conducente,M,Illeso
3711686,Conducente,M,Illeso
3711686,Conducente,M,Illeso
3711712,Conducente,M,Illeso
3711730,Conducente,M,Illeso
3711730,Passeggero,F,Illeso
3711730,Conducente,M,Illeso
3711730,Conducente,M,Illeso
3711730,Passeggero,M,Illeso
3711742,Conducente,F,Illeso
3711742,Conducente,F,Illeso
3711761,Conducente,M,Illeso
3711762,Conducente,M,Illeso
3711774,Pedone,M,Rifiuta cure immediate
3711774,Conducente,M,Rifiuta cure immediate
3711786,Conducente,M,Rimandato
3711802,Conducente,F,Illeso
3711802,Conducente,M,Illeso
3711814,Conducente,M,Illeso
3711814,Passeggero,M,Illeso
3711814,Passeggero,M,Illeso
3711814,Conducente,M,Illeso
3711814,Passeggero,F,Illeso
3711822,Conducente,F,Illeso
3711822,Conducente,M,Rimandato
3711825,Conducente,M,Rifiuta cure immediate
3711825,Conducente,M,Rifiuta cure immediate
3711825,Passeggero,F,Illeso
3711825,Passeggero,F,Rimandato
3711825,Passeggero,M,Rifiuta cure immediate
3711873,Conducente,M,Illeso
3711873,Passeggero,M,Illeso
3711879,Conducente,M,Illeso
3711879,Passeggero,M,Illeso
3711880,Conducente,M,Illeso
3711880,Passeggero,F,Illeso
3711883,Conducente,F,Illeso
3711883,Passeggero,M,Illeso
3711883,Passeggero,M,Illeso
3711903,Conducente,M,Rimandato
3711911,Conducente,M,Illeso
3711911,Conducente,M,Illeso
3711911,Passeggero,M,Illeso
3711911,Passeggero,M,Illeso
3711928,Conducente,M,Illeso
3712027,Conducente,M,Illeso
3712027,Passeggero,M,Illeso
3712027,Conducente,M,Illeso
3712045,Conducente,M,Illeso
3712045,Conducente,M,Illeso
3712125,Conducente,M,Illeso
3712130,Conducente,M,Illeso
3712130,Conducente,M,Illeso
3712132,Conducente,M,Illeso
3712132,Passeggero,F,Illeso
3712132,Conducente,M,Illeso
3712132,Passeggero,F,Illeso
3712132,Passeggero,M,Illeso
3712133,Passeggero,M,Illeso
3712133,Conducente,M,Illeso
3712133,Passeggero,F,Illeso
3712133,Passeggero,M,Illeso
3712212,Conducente,M,Illeso
3712361,Conducente,M,Illeso
3712362,Conducente,M,Illeso
3712362,Passeggero,F,Illeso
3712362,Passeggero,M,Illeso
3712362,Conducente,M,Illeso
3712362,Passeggero,M,Illeso
3712364,Conducente,F,Illeso
3712364,Conducente,M,Illeso
3712364,Conducente,M,Illeso
3712366,Conducente,M,Illeso
3712366,Conducente,M,Illeso
3712366,Passeggero,M,Illeso
3712368,Conducente,M,Illeso
3712535,Conducente,M,Illeso
3712535,Passeggero,M,Illeso
3712535,Passeggero,F,Illeso
3712535,Conducente,M,Illeso
3712535,Passeggero,M,Rimandato
3712548,Conducente,M,Illeso
3712548,Conducente,M,Illeso
3712552,Conducente,M,Illeso
3712554,Passeggero,F,Illeso
3712554,Conducente,M,Illeso
3712555,Conducente,M,Illeso
3712555,Passeggero,F,Illeso
3712555,Conducente,M,Illeso
3712558,Conducente,F,Illeso
3712560,Conducente,F,Illeso
3712563,Conducente,M,Illeso
3712563,Passeggero,F,Illeso
3712563,Conducente,M,Illeso
3712564,Conducente,M,Illeso
3712564,Passeggero,F,Illeso
3712564,Conducente,M,Illeso
3712571,Conducente,M,Illeso
3712572,Conducente,F,Illeso
3712574,Conducente,F,Rimandato
3712580,Pedone,M,Prognosi riservata
3712584,Conducente,M,Prognosi riservata
3712589,Conducente,M,Illeso
3712589,Conducente,M,Rimandato
3712590,Conducente,F,Illeso
3712590,Passeggero,M,Illeso
3712590,Conducente,M,Illeso
3712590,Passeggero,F,Illeso
3712590,Passeggero,F,Illeso
3712595,Pedone,F,Rimandato
3712595,Conducente,M,Illeso
3712599,Conducente,M,Illeso
3712604,Pedone,M,Rimandato
3712604,Conducente,F,Illeso
3712606,Conducente,M,Prognosi riservata
3712611,Conducente,M,Illeso
3712620,Conducente,M,Illeso
3712621,Conducente,M,Rimandato
3712624,Conducente,M,Illeso
3712624,Conducente,M,Illeso
3712624,Passeggero,F,Illeso
3712624,Passeggero,M,Illeso
3712625,Conducente,M,Illeso
3712625,Conducente,M,Illeso
3712633,Pedone,F,Ricoverato
3712633,Conducente,F,Illeso
3712642,Conducente,M,Illeso
3712646,Conducente,M,Rimandato
3712647,Conducente,M,Illeso
3712647,Conducente,M,Illeso
3712647,Passeggero,M,Illeso
3712652,Conducente,M,Rimandato
3712652,Passeggero,M,Rimandato
3712652,Conducente,M,Illeso
3712654,Conducente,M,Illeso
3712655,Conducente,M,Rifiuta cure immediate
3712657,Conducente,M,Rimandato
3712658,Conducente,F,Illeso
3712658,Conducente,M,Illeso
3712658,Passeggero,F,Illeso
3712658,Passeggero,F,Illeso
3712658,Conducente,M,Illeso
3712658,Passeggero,M,Illeso
3712658,Passeggero,M,Illeso
3712660,Conducente,M,Illeso
3712660,Conducente,M,Illeso
3712677,Conducente,M,Illeso
3712677,Conducente,F,Illeso
3712682,Conducente,M,Illeso
3712683,Conducente,F,Illeso
3712683,Passeggero,F,Ricoverato
3712683,Conducente,F,Illeso
3712683,Passeggero,F,Illeso
3712685,Conducente,F,Illeso
3712685,Conducente,F,Illeso
3712689,Conducente,M,Illeso
3712689,Conducente,M,Rifiuta cure immediate
3712690,Conducente,F,Illeso
3712690,Conducente,M,Illeso
3712690,Passeggero,F,Illeso
3712690,Passeggero,M,Illeso
3712690,Passeggero,M,Illeso
3712691,Conducente,M,Rifiuta cure immediate
3712695,Conducente,M,Illeso
3712695,Passeggero,F,Illeso
3712697,Passeggero,F,Illeso
3712697,Conducente,M,Illeso
3712697,Conducente,M,Rimandato
3712703,Conducente,M,Illeso
3712703,Conducente,M,Illeso
3712710,Conducente,F,Illeso
3712710,Passeggero,F,Illeso
3712710,Conducente,M,Illeso
3712713,Conducente,M,Illeso
3712713,Conducente,M,Illeso
3712715,Conducente,M,Rimandato
3712715,Passeggero,F,Illeso
3712715,Passeggero,M,Illeso
3712715,Conducente,M,Rimandato
3712715,Passeggero,M,Rimandato
3712715,Passeggero,M,Rimandato
3712727,Conducente,F,Rimandato
3712727,Conducente,M,Rimandato
3712733,Conducente,F,Illeso
3712735,Conducente,M,Illeso
3712735,Passeggero,M,Illeso
3712739,Conducente,M,Illeso
3712739,Conducente,M,Illeso
3712744,Conducente,M,Illeso
3712744,Conducente,M,Illeso
3712746,Conducente,M,Illeso
3712746,Conducente,F,Illeso
3712750,Conducente,M,Illeso
3712750,Conducente,M,Illeso
3712755,Conducente,M,Illeso
3712785,Conducente,F,Illeso
3712785,Passeggero,F,Illeso
3712785,Passeggero,F,Illeso
3712785,Conducente,M,Illeso
3712795,Conducente,M,Illeso
3712795,Conducente,F,Illeso
3712796,Conducente,M,Illeso
3712796,Passeggero,F,Illeso
3712807,Passeggero,M,Illeso
3712807,Conducente,F,Illeso
3712813,Conducente,M,Illeso
3712813,Passeggero,F,Illeso
3712814,Conducente,M,Illeso
3712816,Conducente,M,Illeso
3712818,Conducente,F,Illeso
3712818,Passeggero,M,Illeso
3712819,Conducente,M,Illeso
3712819,Passeggero,F,Illeso
3712820,Pedone,F,Rimandato
3712820,Conducente,M,Illeso
3712823,Conducente,M,Illeso
3712823,Passeggero,F,Illeso
3712830,Conducente,M,Illeso
3712830,Conducente,M,Illeso
3712834,Conducente,F,Rimandato
3712835,Conducente,M,Illeso
3712835,Passeggero,F,Illeso
3712839,Conducente,M,Illeso
3712839,Passeggero,M,Illeso
3712862,Pedone,M,Rimandato
3712862,Conducente,M,Illeso
3712878,Conducente,M,Illeso
3712878,Conducente,M,Illeso
3712879,Conducente,M,Illeso
3712879,Passeggero,M,Illeso
3712907,Pedone,F,Rimandato
3712907,Conducente,M,Illeso
3712918,Conducente,F,Illeso
3712918,Passeggero,F,Illeso
3712918,Conducente,M,Illeso
3712948,Conducente,M,Illeso
3712948,Conducente,F,Illeso
3712963,Pedone,F,Rimandato
3712963,Conducente,F,Illeso
3712963,Passeggero,F,Illeso
3712968,Conducente,M,Illeso
3712975,Pedone,F,Rimandato
3712975,Conducente,F,Illeso
3712991,Conducente,M,Prognosi riservata
3712996,Conducente,M,Illeso
3712996,Conducente,F,Illeso
3713020,Conducente,F,Illeso
3713028,Conducente,F,Illeso
3713028,Conducente,M,Illeso
3713029,Conducente,M,Illeso
3713038,Conducente,M,Illeso
3713045,Conducente,M,Illeso
3713048,Conducente,M,Illeso
3713050,Conducente,F,Illeso
3713050,Conducente,F,Illeso
3713061,Conducente,M,Illeso
3713061,Passeggero,F,Illeso
3713061,Passeggero,M,Illeso
3713068,Conducente,M,Rimandato
3713068,Conducente,M,Illeso
3713068,Passeggero,M,Illeso
3713068,Passeggero,M,Illeso
3713075,Conducente,M,Rimandato
3713080,Conducente,M,Illeso
3713080,Passeggero,F,Illeso
3713080,Conducente,F,Illeso
3713080,Passeggero,M,Illeso
3713080,Passeggero,M,Illeso
3713124,Conducente,M,Illeso
3713125,Conducente,F,Illeso
3713125,Passeggero,F,Illeso
3713126,Conducente,M,Illeso
3713126,Passeggero,M,Illeso
3713126,Conducente,M,Illeso
3713135,Conducente,F,Illeso
3713135,Passeggero,M,Illeso
3713135,Conducente,M,Illeso
3713160,Conducente,M,Illeso
3713202,Conducente,F,Illeso
3713202,Conducente,M,Illeso
3713216,Conducente,M,Illeso
3713216,Passeggero,M,Illeso
3713216,Conducente,F,Rimandato
3713216,Passeggero,F,Rimandato
3713243,Conducente,F,Rimandato
3713243,Conducente,F,Rimandato
3713243,Passeggero,F,Illeso
3713243,Passeggero,M,Rimandato
3713243,Passeggero,F,Illeso
3713250,Conducente,M,Illeso
3713258,Conducente,M,Illeso
3713258,Conducente,F,Illeso
3713261,Conducente,M,Illeso
3713261,Passeggero,M,Illeso
3713266,Conducente,F,Illeso
3713267,Conducente,M,Illeso
3713267,Passeggero,F,Illeso
3713267,Passeggero,M,Illeso
3713272,Conducente,F,Illeso
3713272,Conducente,F,Illeso
3713274,Conducente,M,Rifiuta cure immediate
3713274,Conducente,M,Illeso
3713278,Conducente,M,Illeso
3713278,Conducente,M,Illeso
3713278,Passeggero,F,Illeso
3713284,Conducente,F,Illeso
3713284,Conducente,F,Illeso
3713287,Conducente,M,Illeso
3713287,Passeggero,F,Illeso
3713293,Pedone,M,Rimandato
3713293,Conducente,M,Illeso
3713298,Conducente,M,Illeso
3713307,Conducente,M,Illeso
3713312,Conducente,M,Rimandato
3713315,Conducente,M,Illeso
3713315,Conducente,M,Illeso
3713324,Conducente,M,Illeso
3713324,Passeggero,F,Illeso
3713324,Passeggero,M,Illeso
3713324,Conducente,M,Rifiuta cure immediate
3713327,Conducente,M,Illeso
3713327,Passeggero,M,Illeso
3713327,Conducente,M,Illeso
3713327,Passeggero,F,Illeso
3713327,Conducente,F,Illeso
3713343,Conducente,M,Illeso
3713343,Passeggero,F,Illeso
3713346,Conducente,M,Rimandato
3713346,Conducente,M,Rimandato
3713346,Passeggero,M,Illeso
3713427,Conducente,M,Illeso
3713427,Passeggero,M,Illeso
3713427,Conducente,F,Illeso
3713427,Passeggero,F,Illeso
3713427,Passeggero,M,Illeso
3713427,Passeggero,F,Illeso
3713427,Passeggero,M,Illeso
3713441,Conducente,M,Illeso
3713441,Passeggero,F,Illeso
3713443,Pedone,F,Rimandato
3713443,Conducente,M,Illeso
3713443,Passeggero,M,Illeso
3713454,Conducente,M,Illeso
3713460,Conducente,F,Illeso
3713460,Passeggero,M,Illeso
3713460,Conducente,M,Illeso
3713560,Conducente,M,Rimandato
3713560,Conducente,M,Ricoverato
3713560,Conducente,F,Illeso
3713564,Conducente,F,Illeso
3713564,Conducente,F,Rimandato
3713586,Conducente,M,Illeso
3713586,Conducente,M,Illeso
3713586,Passeggero,M,Illeso
3713599,Conducente,M,Rimandato
3713599,Conducente,M,Illeso
3713647,Conducente,M,Illeso
3713653,Conducente,M,Illeso
3714127,Conducente,M,Illeso
3714127,Conducente,F,Rimandato
3714129,Conducente,M,Illeso
3714129,Conducente,M,Illeso
3714137,Conducente,M,Illeso
3714141,Conducente,M,Illeso
3714146,Conducente,M,Illeso
3714148,Conducente,M,Illeso
3714150,Conducente,M,Illeso
3714150,Passeggero,F,Illeso
3714153,Conducente,M,Illeso
3714154,Conducente,M,Illeso
3714154,Conducente,M,Illeso
3714154,Passeggero,F,Illeso
3714154,Passeggero,F,Illeso
3714154,Passeggero,M,Illeso
3714156,Conducente,F,Illeso
3714156,Conducente,F,Illeso
3714157,Conducente,M,Illeso
3714163,Conducente,M,Illeso
3714163,Conducente,F,Illeso
3714165,Conducente,M,Illeso
3714166,Conducente,F,Illeso
3714166,Passeggero,F,Illeso
3714166,Passeggero,M,Illeso
3714167,Conducente,M,Illeso
3714167,Conducente,M,Illeso
3714167,Conducente,M,Illeso
3714167,Passeggero,M,Illeso
3714167,Conducente,M,Illeso
3714170,Conducente,M,Illeso
3714170,Passeggero,F,Illeso
3714174,Conducente,F,Illeso
3714174,Conducente,F,Illeso
3714174,Passeggero,M,Illeso
3714176,Conducente,F,Illeso
3714179,Conducente,F,Illeso
3714179,Conducente,M,Illeso
3714180,Conducente,M,Illeso
3714181,Conducente,M,Illeso
3714183,Conducente,M,Illeso
3714183,Passeggero,M,Illeso
3714185,Conducente,F,Illeso
3714186,Conducente,F,Illeso
3714189,Conducente,M,Illeso
3714194,Conducente,M,Illeso
3714194,Conducente,F,Rimandato
3714194,Passeggero,F,Illeso
3714195,Conducente,M,Illeso
3714195,Passeggero,M,Illeso
3714195,Conducente,M,Illeso
3714195,Conducente,M,Illeso
3714196,Conducente,M,Illeso
3714207,Conducente,M,Illeso
3714210,Conducente,M,Illeso
3714212,Conducente,M,Illeso
3714213,Conducente,F,Illeso
3714215,Conducente,M,Rifiuta cure immediate
3714216,Conducente,M,Illeso
3714216,Passeggero,M,Illeso
3714218,Conducente,M,Illeso
3714219,Conducente,F,Illeso
3714219,Passeggero,F,Illeso
3714219,Passeggero,F,Illeso
3714219,Passeggero,F,Illeso
3714219,Conducente,F,Illeso
3714219,Conducente,F,Illeso
3714219,Passeggero,F,Illeso
3714222,Conducente,M,Illeso
