ID,TipoPersona,Sesso,TipoLesione
3854505,Passeggero,F,Rimandato
3854505,Conducente,M,Rifiuta cure immediate
3854505,Conducente,M,Rimandato
3854513,Conducente,M,Illeso
3854553,Conducente,M,Illeso
3854553,Passeggero,F,Rimandato
3854553,Conducente,F,Illeso
3854606,Conducente,,Illeso
3854606,Conducente,M,Illeso
3854655,Conducente,F,Illeso
3854655,Conducente,M,Illeso
3854664,Conducente,M,Rimandato
3854664,Conducente,M,Illeso
3854690,Conducente,F,Illeso
3854690,Conducente,M,Illeso
3854695,Conducente,F,Illeso
3854695,Conducente,M,Illeso
3854707,Conducente,M,Illeso
3854707,Conducente,M,Illeso
3854725,Conducente,M,Illeso
3854725,Conducente,F,Illeso
3854757,Conducente,M,Illeso
3854757,Conducente,M,Illeso
3854757,Passeggero,M,Illeso
3854778,Conducente,M,Illeso
3854778,Passeggero,M,Illeso
3854778,Conducente,M,Illeso
3854778,Passeggero,M,Illeso
3854806,Conducente,M,Illeso
3854806,Passeggero,M,Illeso
3854806,Conducente,M,Illeso
3854810,Conducente,M,Rimandato
3854873,Pedone,M,Rimandato
3854873,Conducente,M,Rimandato
3854876,Conducente,M,Illeso
3854876,Conducente,M,Deceduto sul posto
3854876,Passeggero,M,Rifiuta cure immediate
3854879,Conducente,M,Illeso
3854879,Passeggero,M,Illeso
3854879,Passeggero,M,Illeso
3854982,Conducente,M,Illeso
3854982,Conducente,M,Illeso
3855479,Conducente,M,Illeso
3855479,Passeggero,F,Illeso
3855479,Conducente,M,Illeso
3855479,Passeggero,F,Illeso
3855480,Conducente,M,Illeso
3855480,Conducente,M,Illeso
3855480,Passeggero,F,Rimandato
3855490,Passeggero,F,Rimandato
3855490,Conducente,M,Rimandato
3855490,Passeggero,F,Rimandato
3855490,Conducente,F,Illeso
3855491,Conducente,M,Illeso
3855491,Conducente,M,Illeso
3855491,Passeggero,F,Illeso
3855493,Conducente,M,Illeso
3855493,Passeggero,M,Illeso
3855495,Conducente,F,Illeso
3855495,Passeggero,F,Illeso
3855499,Conducente,M,Illeso
3855499,Conducente,M,Illeso
3855501,Conducente,M,Rimandato
3855501,Conducente,M,Rimandato
3855503,Conducente,M,Rimandato
3855508,Conducente,M,Illeso
3855508,Conducente,F,Illeso
3855510,Conducente,M,Rifiuta cure immediate
3855512,Conducente,M,Illeso
3855512,Conducente,M,Rifiuta cure immediate
3855521,Conducente,M,Rimandato
3855521,Conducente,F,Illeso
3855521,Passeggero,F,Rimandato
3855521,Passeggero,F,Rimandato
3855526,Conducente,F,Rifiuta cure immediate
3855532,Conducente,M,Illeso
3855532,Conducente,M,Illeso
3855532,Passeggero,F,Illeso
3855532,Passeggero,M,Illeso
3855532,Passeggero,F,Illeso
3855539,Conducente,M,Rimandato
3855539,Conducente,M,Illeso
3855540,Pedone,M,Rimandato
3855540,Conducente,M,Illeso
3855543,Conducente,M,Illeso
3855543,Conducente,F,Illeso
3855543,Passeggero,F,Rimandato
3855543,Passeggero,F,Rimandato
3855543,Conducente,F,Rimandato
3855547,Conducente,M,Illeso
3855550,Conducente,M,Illeso
3855550,Conducente,M,Illeso
3855559,Conducente,M,Illeso
3855570,Conducente,M,Illeso
3855570,Conducente,M,Illeso
3855573,Conducente,M,Rimandato
3855573,Passeggero,M,Rimandato
3855574,Conducente,M,Illeso
3855578,Conducente,M,Illeso
3855578,Passeggero,M,Illeso
3855578,Conducente,M,Rimandato
3855578,Passeggero,M,Rimandato
3855580,Conducente,F,Illeso
3855580,Conducente,F,Illeso
3855580,Passeggero,M,Illeso
3855581,Conducente,M,Illeso
3855588,Conducente,M,Rimandato
3855588,Passeggero,F,Rimandato
3855588,Conducente,M,Illeso
3855588,Conducente,M,Illeso
3855591,Conducente,M,Illeso
3855591,Passeggero,F,Illeso
3855591,Conducente,M,Rimandato
3855593,Conducente,M,Illeso
3855593,Conducente,M,Illeso
3855593,Passeggero,M,Illeso
3855593,Passeggero,M,Illeso
3855602,Conducente,F,Rimandato
3855602,Conducente,M,Rimandato
3855605,Conducente,M,Illeso
3855605,Conducente,M,Illeso
3855609,Conducente,F,Illeso
3855609,Passeggero,F,Illeso
3855609,Passeggero,M,Illeso
3855609,Conducente,M,Illeso
3855609,Passeggero,M,Illeso
3855612,Pedone,F,Rimandato
3855612,Conducente,F,Illeso
3855613,Pedone,F,Rimandato
3855613,Conducente,M,Rimandato
3855613,Conducente,M,Illeso
3855613,Passeggero,M,Illeso
3855618,Conducente,M,Rimandato
3855618,Conducente,M,Illeso
3855624,Conducente,F,Illeso
3855627,Conducente,F,Illeso
3855629,Conducente,M,Rimandato
3855630,Conducente,F,Illeso
3855630,Conducente,M,Rimandato
3855633,Conducente,M,Illeso
3855633,Passeggero,M,Illeso
3855640,Conducente,F,Illeso
3855640,Conducente,F,Illeso
3855646,Conducente,M,Illeso
3855646,Passeggero,F,Illeso
3855646,Conducente,M,Illeso
3855648,Conducente,M,Illeso
3855648,Conducente,M,Illeso
3855650,Conducente,M,Illeso
3855650,Conducente,M,Illeso
3855650,Passeggero,M,Illeso
3855652,Conducente,M,Illeso
3855652,Conducente,M,Rimandato
3855652,Passeggero,F,Illeso
3855655,Conducente,M,Illeso
3855655,Conducente,M,Rimandato
3855657,Conducente,M,Illeso
3855657,Passeggero,F,Illeso
3855657,Conducente,M,Rimandato
3855662,Conducente,F,Illeso
3855662,Conducente,M,Illeso
3855663,Conducente,M,Illeso
3855663,Passeggero,F,Illeso
3855663,Conducente,M,Illeso
3855666,Conducente,M,Illeso
3855666,Conducente,M,Illeso
3855666,Passeggero,F,Illeso
3855674,Pedone,M,Rifiuta cure immediate
3855674,Pedone,F,Rifiuta cure immediate
3855674,Conducente,F,Illeso
3855680,Conducente,M,Illeso
3855698,Conducente,M,Illeso
3855698,Passeggero,M,Illeso
3855698,Conducente,M,Illeso
3855698,Passeggero,F,Illeso
3855699,Conducente,M,Illeso
3855699,Conducente,M,Illeso
3855699,Passeggero,M,Illeso
3855701,Conducente,M,Illeso
3855701,Passeggero,F,Illeso
3855701,Passeggero,M,Illeso
3855710,Conducente,F,Illeso
3855710,Conducente,M,Illeso
3855726,Conducente,F,Rimandato
3855726,Conducente,F,Illeso
3855737,Conducente,M,Illeso
3855737,Conducente,M,Illeso
3855737,Passeggero,M,Illeso
3855737,Passeggero,F,Illeso
3855765,Conducente,M,Illeso
3855765,Passeggero,M,Illeso
3855765,Passeggero,F,Illeso
3855765,Conducente,M,Illeso
3855766,Conducente,M,Illeso
3855766,Passeggero,F,Illeso
3855766,Passeggero,M,Illeso
3855766,Conducente,M,Illeso
3855803,Conducente,M,Illeso
3855803,Conducente,M,Rimandato
3855803,Passeggero,F,Rimandato
3855810,Pedone,F,Ricoverato
3855810,Conducente,M,Illeso
3855810,Conducente,M,Illeso
3855810,Passeggero,F,Illeso
3855812,Conducente,F,Illeso
3855812,Conducente,M,Illeso
3855820,Conducente,M,Illeso
3855820,Conducente,F,Rimandato
3855824,Pedone,F,Rimandato
3855824,Conducente,M,Illeso
3855826,Conducente,F,Illeso
3855827,Conducente,F,Illeso
3855830,Pedone,F,Rimandato
3855830,Conducente,M,Illeso
3855832,Passeggero,M,Rimandato
3855832,Conducente,M,Illeso
3855832,Passeggero,F,Rimandato
3855834,Conducente,M,Illeso
3855836,Conducente,F,Illeso
3855836,Passeggero,M,Illeso
3855836,Conducente,M,Illeso
3855836,Passeggero,F,Rimandato
3855836,Passeggero,F,Illeso
3855840,Conducente,F,Illeso
3855840,Passeggero,M,Illeso
3855840,Conducente,M,Illeso
3855841,Conducente,M,Rimandato
3855842,Conducente,M,Illeso
3855842,Conducente,F,Rimandato
3855847,Conducente,M,Illeso
3855847,Passeggero,F,Illeso
3855847,Conducente,M,Illeso
3855847,Passeggero,F,Illeso
3855852,Conducente,M,Illeso
3855852,Conducente,M,Illeso
3855860,Conducente,M,Rimandato
3855860,Conducente,F,Illeso
3855860,Conducente,F,Illeso
3855881,Conducente,M,Illeso
3855881,Conducente,M,Rimandato
3855888,Conducente,F,Illeso
3855888,Conducente,M,Illeso
3855888,Passeggero,F,Illeso
3855890,Conducente,F,Illeso
3855892,Conducente,M,Illeso
3855892,Conducente,M,Illeso
3855892,Passeggero,F,Illeso
3855892,Passeggero,F,Illeso
3855893,Conducente,M,Illeso
3855893,Passeggero,F,Rimandato
3855893,Passeggero,M,Illeso
3855893,Passeggero,M,Rimandato
3855893,Conducente,F,Illeso
3855893,Passeggero,F,Rimandato
