ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3803876,Roma,02-05-2018,11:55,Tamponamento Multiplo,,Nuvoloso,Buona,4,1,0,0
3803920,Roma,02-05-2018,12:00,Tamponamento Multiplo,,Nuvoloso,Sufficiente,4,0,0,0
3803959,Roma,02-05-2018,13:50,Veicolo in marcia contro veicolo arresto,,Nuvoloso,Buona,2,0,0,0
3804033,Roma,02-05-2018,11:10,Tamponamento,,Sereno,Buona,2,0,0,0
3804056,Roma,02-05-2018,06:50,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3804093,Roma,02-05-2018,15:35,Tamponamento,,Nuvoloso,Buona,3,0,0,0
3804098,Roma,02-05-2018,08:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804131,Roma,02-05-2018,16:15,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804181,Roma,02-05-2018,10:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3804197,Roma,02-05-2018,08:40,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3804243,Roma,02-05-2018,15:50,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3804295,Roma,01-05-2018,16:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3804348,Roma,01-05-2018,19:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3804361,Roma,01-05-2018,22:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
3804427,Roma,02-05-2018,01:30,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3804743,Roma,02-05-2018,16:30,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3804748,Roma,02-05-2018,18:40,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3804755,Roma,02-05-2018,20:45,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3804761,Roma,02-05-2018,14:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3804762,Roma,02-05-2018,09:15,Tamponamento Multiplo,,Sereno,Buona,3,0,0,0
3804764,Roma,02-05-2018,09:15,Tamponamento,,Nuvoloso,Buona,0,2,0,0
3804765,Roma,02-05-2018,16:30,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,5,0,0,0
3804766,Roma,02-05-2018,18:30,Scontro frontale fra veicoli in marcia,,,,2,0,0,0
3804773,Roma,02-05-2018,08:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3804792,Roma,02-05-2018,08:53,Tamponamento Multiplo,,Sereno,Buona,2,1,0,0
3804793,Roma,02-05-2018,15:30,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Sufficiente,0,1,0,0
3804796,Roma,02-05-2018,10:20,Tamponamento,,Nuvoloso,Sufficiente,1,1,0,0
3804812,Roma,02-05-2018,12:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
