ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3759732,Roma,01-04-2018,03:30,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3759739,Roma,01-04-2018,23:50,Scontro frontale fra veicoli in marcia,,Sereno,Buona,4,4,1,0
3759764,Roma,02-04-2018,13:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,0,2,0,0
3759789,Roma,01-04-2018,18:40,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,7,2,0,0
3759792,Roma,02-04-2018,16:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,3,0,0
3759795,Roma,02-04-2018,18:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3759824,Roma,02-04-2018,08:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3759827,Roma,02-04-2018,12:45,Investimento di pedone,,Sereno,Buona,1,1,0,0
3759839,Roma,03-04-2018,08:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3759845,Roma,03-04-2018,09:15,Tamponamento Multiplo,,Sereno,Buona,5,0,0,0
3759846,Roma,02-04-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3759867,Roma,02-04-2018,12:50,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3759887,Roma,02-04-2018,13:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3759888,Roma,03-04-2018,06:10,Tamponamento,,Sereno,Buona,1,3,0,0
3759892,Roma,03-04-2018,10:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3759893,Roma,01-04-2018,22:55,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,4,2,0,0
3759915,Roma,02-04-2018,11:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3759916,Roma,02-04-2018,21:00,Veicolo in marcia contro veicoli in sosta,,Sereno,Sufficiente,0,1,0,0
3759926,Roma,01-04-2018,20:15,Scontro frontale fra veicoli in marcia,,Sereno,Sufficiente,3,0,0,0
3759935,Roma,03-04-2018,08:10,Tamponamento,,Sereno,Buona,0,2,0,0
3759949,Roma,01-04-2018,02:40,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
3759954,Roma,02-04-2018,03:00,Veicolo in marcia contro ostacolo fisso,,,,0,1,0,0
3759959,Roma,01-04-2018,17:10,Tamponamento,,Sereno,Buona,3,1,0,0
3759988,Roma,02-04-2018,11:30,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,2,0,0,0
3759989,Roma,01-04-2018,17:45,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3760002,Roma,01-04-2018,18:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3760010,Roma,01-04-2018,13:50,Tamponamento,,Sereno,Buona,2,1,0,0
3760011,Roma,01-04-2018,00:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
3760037,Roma,01-04-2018,15:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,4,0,0,0
3760039,Roma,01-04-2018,04:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,4,0,0,0
3760056,Roma,02-04-2018,18:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,0,2,0
3760062,Roma,03-04-2018,10:25,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760078,Roma,02-04-2018,02:45,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,0,1,0
3760112,Roma,01-04-2018,16:30,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3760127,Roma,02-04-2018,15:00,Scontro laterale fra veicoli in marcia,,,,2,0,0,0
3760131,Roma,01-04-2018,21:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3760162,Roma,02-04-2018,14:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3760239,Roma,01-04-2018,19:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760252,Roma,03-04-2018,13:15,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,4,1,0,0
3760263,Roma,02-04-2018,16:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,5,0,0,0
3760297,Roma,02-04-2018,20:15,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3760306,Roma,02-04-2018,18:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3760309,Roma,02-04-2018,17:00,Tamponamento,,Sereno,Buona,5,0,0,0
3760320,Roma,02-04-2018,21:20,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3760329,Roma,01-04-2018,18:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760331,Roma,03-04-2018,02:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
3760337,Roma,01-04-2018,20:35,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760342,Roma,01-04-2018,18:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3760345,Roma,01-04-2018,16:15,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760346,Roma,03-04-2018,14:35,Tamponamento,,Nuvoloso,Buona,5,0,0,0
3760347,Roma,01-04-2018,11:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3760361,Roma,03-04-2018,14:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760366,Roma,01-04-2018,23:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760414,Roma,01-04-2018,18:45,Investimento di pedone,,Sereno,Buona,1,1,0,0
3760454,Roma,03-04-2018,16:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Sufficiente,2,1,0,0
3760477,Roma,02-04-2018,17:20,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3760552,Roma,03-04-2018,12:45,Tamponamento Multiplo,,Nuvoloso,Buona,4,1,0,0
3760609,Roma,03-04-2018,12:15,Infortunio per caduta del veicolo,,Sereno,Buona,0,1,0,0
3760611,Roma,03-04-2018,11:00,Tamponamento,,Sereno,Buona,2,4,0,0
3760612,Roma,03-04-2018,10:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3760619,Roma,03-04-2018,14:20,Tamponamento,,Sereno,Buona,2,0,0,0
3760676,Roma,03-04-2018,17:45,Tamponamento Multiplo,,Sereno,Buona,3,0,0,0
3760679,Roma,03-04-2018,13:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3760682,Roma,01-04-2018,11:20,Tamponamento Multiplo,,Sereno,Buona,8,0,0,0
3760701,Roma,03-04-2018,12:15,Investimento di pedone,,Sereno,Buona,1,1,0,0
3760724,Roma,02-04-2018,17:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3760735,Roma,03-04-2018,15:40,Investimento di pedone,,Sereno,Buona,1,1,0,0
3760752,Roma,02-04-2018,21:05,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3760761,Roma,03-04-2018,04:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3760892,Roma,03-04-2018,23:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761061,Roma,03-04-2018,19:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761062,Roma,03-04-2018,19:50,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3761063,Roma,03-04-2018,20:30,Veicolo in marcia contro veicolo arresto,,Sereno,Buona,2,0,0,0
3761070,Roma,03-04-2018,20:35,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
3761078,Roma,03-04-2018,12:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3761080,Roma,04-04-2018,03:10,Tamponamento,,Sereno,Sufficiente,2,0,0,0
3761091,Roma,03-04-2018,09:00,Investimento di pedone,,Sereno,Buona,1,1,0,0
3761099,Roma,03-04-2018,17:50,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3761115,Roma,03-04-2018,10:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3761116,Roma,03-04-2018,14:40,Tamponamento,,Sereno,Buona,2,0,0,0
3761122,Roma,03-04-2018,19:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,1,0,0,0
3761125,Roma,03-04-2018,14:40,Tamponamento,,Sereno,Buona,2,0,0,0
3761132,Roma,03-04-2018,15:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,1,0,0
3761134,Roma,03-04-2018,12:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3761139,Roma,03-04-2018,12:40,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3761141,Roma,03-04-2018,06:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Insufficiente,2,0,0,0
3761142,Roma,03-04-2018,09:00,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3761148,Roma,03-04-2018,08:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3761155,Roma,03-04-2018,12:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
