ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3708549,02-03-2018,02:40,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3708551,02-03-2018,07:40,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Buona,2,0,0,0
3708557,01-03-2018,11:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3708560,02-03-2018,00:05,Tamponamento,,Nuvoloso,Sufficiente,2,0,0,0
3708574,01-03-2018,19:20,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3708589,02-03-2018,00:25,Tamponamento,,Sereno,Buona,7,0,0,0
3708593,01-03-2018,07:15,Veicolo in marcia contro ostacolo fisso,,Nebbia,Buona,1,0,0,0
3708597,01-03-2018,22:15,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Sufficiente,1,1,0,0
3708601,02-03-2018,07:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3708606,01-03-2018,23:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
3708610,01-03-2018,09:45,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3708612,01-03-2018,13:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3708642,02-03-2018,00:35,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,2,0,0,0
3708693,01-03-2018,14:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3708719,01-03-2018,21:20,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3708730,01-03-2018,09:35,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3708732,01-03-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3708735,01-03-2018,15:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3708738,01-03-2018,19:45,Investimento di pedone,,,,1,1,0,0
3708756,01-03-2018,09:45,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Buona,1,0,0,0
3708769,01-03-2018,02:30,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Sufficiente,1,1,0,0
3708793,02-03-2018,10:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3708934,02-03-2018,08:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3708973,02-03-2018,10:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3708999,01-03-2018,21:20,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3709011,02-03-2018,11:20,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,4,0,0,0
3709032,01-03-2018,08:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3709036,01-03-2018,17:20,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3709041,01-03-2018,22:27,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3709044,02-03-2018,03:35,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3709087,02-03-2018,11:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3709118,02-03-2018,12:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3709278,02-03-2018,13:30,Investimento di pedone,,Sereno,Buona,1,1,0,0
3709335,02-03-2018,13:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3709353,01-03-2018,20:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,1,1,0,0
3709369,02-03-2018,11:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3709408,02-03-2018,14:55,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3709445,01-03-2018,18:54,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Sufficiente,2,1,0,0
3709674,02-03-2018,13:10,Fuoriuscita dalla sede stradale,,Sereno,Buona,1,0,0,0
3709719,01-03-2018,22:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3709731,01-03-2018,19:45,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Sufficiente,1,0,0,0
3709743,01-03-2018,20:21,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,3,0,0,0
