ID,Modello,Targa,Tipo veicolo
3804834,Autovettura privata,,
3804834,Autovettura privata,,
3804834,Autovettura privata,,
3804835,Autovettura privata,,
3804835,Autocarro inferiore 35 q.,,
3804835,Autocarro inferiore 35 q.,,
3804843,Autovettura privata,,
3804843,Autovettura privata,,
3804843,Autovettura privata,,
3804852,Autocarro superiore 35 q.,,
3804852,Autocarro superiore 35 q.,,
3804864,Autovettura privata,,
3804864,Autovettura privata,,
3804877,Autovettura privata,,
3804877,Autocarro superiore 35 q.,,
3804887,Autovettura privata,,
3804887,Autovettura privata,,
3804890,Autovettura pubblica,,
3804890,Autovettura privata,,
3804894,Autovettura privata,,
3804894,Autovettura privata,,
3804894,Autovettura privata,,
3804894,Autocarro inferiore 35 q.,,
3804894,Autocarro inferiore 35 q.,,
3804899,Autocarro inferiore 35 q.,,
3804899,Autocarro inferiore 35 q.,,
3804899,Autovettura privata,,
3804908,,,
3804908,Autovettura privata,,
3804911,Motociclo a solo,,
3804925,Autovettura privata,,
3804925,Autovettura privata,,
3804929,Autocarro inferiore 35 q.,,
3804929,Autovettura di polizia,,
3804929,Autovettura di polizia,,
3804935,Autovettura pubblica,,
3804935,Motociclo a solo,,
3804982,Autovettura privata,,
3804985,Autovettura privata,,
3804985,Autovettura privata,,
3804987,Autovettura privata,,
3804993,Autovettura privata,,
3804995,Autovettura privata,,
3805003,Autovettura privata,,
3805008,Autovettura privata,,
3805010,Motociclo a solo,,
3805013,Motociclo a solo,,
3805013,Autovettura privata,,
3805014,,,
3805014,Autovettura privata,,
3805015,Quadriciclo leggero,,
3805015,Quadriciclo leggero,,
3805018,Autovettura privata,,
3805018,Autovettura privata,,
3805025,Motociclo a solo,,
3805033,Autovettura privata,,
3805033,Autovettura privata,,
3805033,Autovettura privata,,
3805033,Autovettura privata,,
3805037,Autovettura privata,,
3805037,Motociclo a solo,,
3805039,Autovettura privata,,
3805039,Autovettura privata,,
3805039,Autovettura privata,,
3805039,Autovettura privata,,
3805042,Autocarro inferiore 35 q.,,
3805042,Autovettura privata,,
3805053,Autovettura privata,,
3805053,Motociclo a solo,,
3805060,Autovettura privata,,
3805060,Autovettura privata,,
3805065,Autovettura privata,,
3805065,Autovettura privata,,
3805076,Autovettura privata,,
3805076,Autovettura privata,,
3805078,Autovettura privata,,
3805078,Motociclo a solo,,
3805086,Autovettura privata,,
3805086,Autovettura privata,,
3805088,Autovettura privata,,
3805088,Autovettura privata,,
3805095,Autovettura privata,,
3805095,Autovettura privata,,
3805095,Autovettura privata,,
3805095,Autovettura privata,,
3805095,Autocarro inferiore 35 q.,,
3805095,Autovettura di polizia,,
3805095,Autovettura di polizia,,
3805096,Autovettura privata,,
3805096,Autovettura privata,,
3805098,Motociclo a solo,,
3805098,Autovettura pubblica,,
