Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-17;13:55;VIA JOPPOLO BENIAMINO ;C;;13,338834;38,114055
2018-01-18;09:10;PIAZZA CAPONNETTO ANTONINO ;C;;13,356403;38,13535
2018-01-18;10:45;VIA DEL VESPRO ;C;;13,362293;38,106534
2018-01-18;15:15;VIA SPERONE ;F;4;13,397923;38,097772
2018-01-18;13:25;VIA SIRACUSA ;F;1;13,35139;38,127412
2018-01-18;18:00;VIALE REGIONE SICILIANA N.O. ;F;1;13,330611;38,13562
2018-01-18;20:45;VIA CALVI PASQUALE ;F;1;13,35494;38,130111
2018-01-18;20:50;VIA PRINCIPE DI PALAGONIA ;F;1;13,337275;38,132374
2018-01-18;16:10;VIALE REGIONE SICILIANA S.E. ;C;;13,335341;38,096494
2018-01-19;07:50;VIALE STRASBURGO ;F;1;13,323994;38,159154
2018-01-19;08:00;CORSO CALATAFIMI ;F;1;13,32779;38,10205
2018-01-19;13:00;VIA NENNI PIETRO ;C;;13,323167;38,151671
2018-01-19;14:10;CORSO CALATAFIMI ;F;1;13,350946;38,111394
2018-01-19;16:05;VIA PRINCIPE DI PALAGONIA ;C;;13,334606;38,136887
2018-01-19;17:50;VIA ORETO ;C;;13,36625;38,108191
2018-01-20;00:15;VIA BASILE ERNESTO ;C;;13,341448;38,095376
2018-01-20;01:05;VIA DUCA DELLA VERDURA ;F;2;13,34977;38,13366
2018-01-20;02:45;PIAZZA TONNARAZZA ;C;;13,378233;38,112063
2018-01-20;08:45;PZZA ORLANDO VITTORIO EMANUELE;F;1;13,350822;38,119257
2018-01-20;12:30;PIAZZA DELLA PACE ;F;1;13,35919;38,13116
2018-01-20;13:45;VIA ROCCELLA GUSTAVO ;F;1;13,347644;38,095391
2018-01-20;17:10;VIA ALLA FALCONARA ;F;1;13,291743;38,117429
2018-01-20;17:30;VIALE REGIONE SICILIANA S.E. ;C;;13,395473;38,087257
2018-01-21;01:50;VIALE LEONARDO DA VINCI ;C;;13,32731;38,128082
2018-01-21;05:45;VIA CARINI ISIDORO ;F;2;13,355584;38,129051
2018-01-21;09:00;VIALE GALILEO GALILEI ;F;3;13,333942;38,132655
2018-01-21;08:35;VIA ROMA ;C;;13,361906;38,119795
2018-01-21;13:15;VIA GRAVINA AMMIRAGLIO ;F;2;13,360126;38,12564
2018-01-21;11:00;VIA ALBIMONTE GUGLIELMO ;F;1;13,346634;38,116514
2018-01-21;21:50;VIA CAVOUR CAMILLO ;F;3;13,357746;38,121201
2018-01-22;09:00;VIA ALBANESE ENRICO ;C;;13,354196;38,129818
2018-01-22;08:55;VIA DOGALI ;F;1;13,311678;38,124775
2018-01-22;11:10;VIA DELLA LIBERTA' ;C;;13,34613;38,139146
2018-01-22;12:40;VIA COLOMBA ;F;1;13,357761;38,106009
2018-01-22;14:50;CORSO DEI MILLE ;F;1;13,421589;38,08757
2018-01-10;08:30;VIA DANTE ;F;1;13,345725;38,122528
2018-01-15;15:25;VIA PRINCIPE DI PATERNO' ;F;1;13,341023;38,139788
2018-01-17;15:30;VIA MESSINA MARINE ;C;;13,402342;38,100145
2018-01-18;10:50;VIALE REGIONE SICILIANA N.O. ;C;;13,328772;38,122395
2018-01-21;17:45;VIALE REGIONE SICILIANA N.O. ;C;;13,313922;38,158395
2018-01-22;17:25;VIA PARLATORE FILIPPO ;F;1;13,343684;38,124521
2018-01-22;17:15;VIA LI PUMA EPIFANIO ;C;;13,406856;38,094482
2018-01-22;19:00;VIALE DELLA RESURREZIONE ;F;1;13,324618;38,169928
2018-01-23;06:45;VIA DI BLASI E. GIOVANNI ;M;;13,31381;38,125846
2018-01-23;10:30;VIALE NICOLETTI ROSARIO ;C;;13,289052;38,191877
2018-01-23;11:00;CSO FINOCCHIARO APRILE CAMILLO ;F;1;13,34705;38,118467
2018-01-23;17:00;PIAZZA BARBARINO COSTANZO ;C;;13,334558;38,099771
2018-01-23;14:40;VIALE LEONARDO DA VINCI ;F;1;13,32216;38,126916
2018-01-23;14:45;VIALE REGIONE SICILIANA ;F;2;13,384179;38,089735
2018-01-23;18:10;VIA MESSINA MARINE ;F;1;13,426395;38,096785
2018-01-19;00:30;VIA MATTARELLA PIERSANTI ;C;;13,346589;38,132897
2018-01-22;18:20;VIA IMPERATORE FEDERICO ;C;;13,351828;38,146678
2018-01-22;21:00;VIALE MARCHESE DI VILLABIANCA ;F;1;13,352234;38,134319
2018-01-24;09:00;CORSO DEI MILLE ;F;2;13,381633;38,1015
2018-01-24;08:30;VIA DELL'AIRONE;F;2;13,358226;38,090204
2018-01-23;16:30;VIALE REGIONE SICILIANA S.E. ;C;;13,358978;38,087304
2018-01-24;10:00;CORSO DEI MILLE ;F;1;13,381247;38,101671
2018-01-24;15:10;VIALE LEONARDO DA VINCI ;F;1;13,327285;38,128112
2018-01-24;16:25;VIA TASCA LANZA ;F;1;13,329389;38,111032
2018-01-24;16:00;VIA MORELLO NUNZIO ;F;1;13,34366;38,133376
2018-01-24;19:45;VIA LASCARIS COSTANTINO ;C;;13,349532;38,117176
2018-01-25;00:50;VIA COSTANTINO DOMENICO ;C;;13,344797;38,131459
2018-01-25;08:10;VIA SALINAS ANTONINO ;F;1;13,345217;38,130716
2018-01-25;16:20;VIALE REGIONE SICILIANA N.O. ;F;1;13,330173;38,132823
2018-01-24;10:05;VIA BELGIO ;C;;13,328821;38,15032
2018-01-25;18:15;VIA PIAZZA MICHELE ;F;1;13,34319;38,116002
2018-01-25;23:30;PIAZZA SETTIMO RUGGERO ;F;2;13,355688;38,124332
2018-01-24;07:15;VIA DANTE ;C;;13,340488;38,121257
2018-01-24;11:30;VIA MATTARELLA PIERSANTI ;C;;13,346811;38,132628
2018-01-25;15:15;PIAZZA VERDI GIUSEPPE ;C;;13,356635;38,120653
2018-01-26;07:40;CORSO CALATAFIMI ;F;2;13,335289;38,105031
2018-01-26;09:15;VIA THAON DE REVEL PAOLO AMM. ;R;;13,360172;38,146114
2018-01-26;11:45;VIA TRAPANI PESCIA ;F;1;13,326688;38,172898
2018-01-25;10:35;VIA CALA ;C;;13,366291;38,12022
2018-01-26;13:00;VIA MECCIO SALVATORE ;C;;13,354124;38,123009
2018-01-26;15:20;VIA MARCHESE DI ROCCAFORTE ;F;1;13,346658;38,142891
2018-01-26;19:20;PIAZZA MALASPINA ;F;1;13,337828;38,131383
2018-01-26;20:10;VIALE STRASBURGO ;F;2;13,323249;38,159915
2018-01-27;03:00;VIA MESSINA MARINE ;C;;13,426987;38,096735
2018-01-27;12:00;VIA LA MANTIA VITO ;F;1;13,346346;38,120599
2018-01-27;14:30;VIA CAVOUR CAMILLO ;C;;13,360464;38,121817
2018-01-27;20:15;VIA PITRE' GIUSEPPE ;F;1;13,335252;38,110446
2018-01-28;08:15;VIA IMERA ;F;2;13,34872;38,117013
2018-01-07;23:05;VIA JEMMA ROCCO ;C;;13,364604;38,103851
2018-01-28;17:20;VIA JUVARA ALOISIO ;C;;13,361414;38,139337
2018-01-28;21:55;VIA PETRALIA SOTTANA ;F;1;13,326007;38,115807
2018-01-27;14:10;VIALE REGIONE SICILIANA S.E. ;F;1;13,337418;38,09497
2018-01-27;15:30;PIAZZA CASTELNUOVO ;F;1;13,354755;38,124936
2018-01-28;04:15;VIA MESSINA MARINE ;F;1;13,390591;38,104411
2018-01-29;05:30;VIA LINCOLN ;F;1;13,368783;38,111865
2018-01-29;09:30;FORO UMBERTO I ;C;;13,376165;38,115174
2018-01-29;11:30;VIA CRISPI FRANCESCO ;F;1;13,364657;38,123821
2018-01-29;13:30;VIA PORRAZZI ;F;1;13,333965;38,103523
2018-01-29;15:30;VIALE DUCA DEGLI ABRUZZI ;F;1;13,328175;38,169826
2018-01-29;18:00;VIALE DIANA ;F;1;13,345676;38,148584
2018-01-29;23:30;VIA PADRE GIUSEPPE PUGLISI ;F;2;13,386348;38,103527
2018-01-29;18:00;VIALE REGIONE SICILIANA N.O. ;F;1;13,330064;38,130939
2018-01-30;10:30;VIA CRISPI FRANCESCO ;C;;13,360367;38,130344
2018-01-24;11:00;VIA LUTHER KING MARTIN ;C;;13,35344;38,1472
2018-01-25;19:00;VIA ORETO ;F;1;13,371821;38,099627
2018-01-26;12:10;VIA BASILE ERNESTO ;F;1;13,347503;38,100845
2018-01-26;18:45;VIA DELLA LIBERTA' ;C;;13,348845;38,134996
2018-01-30;15:00;VIA BRUNELLESCHI FILIPPO ;F;1;13,314061;38,139665
2018-01-17;12:25;VIA MAQUEDA ;F;1;13,361231;38,115836
2018-01-31;02:00;VIALE LEONARDO DA VINCI ;C;;13,309489;38,12661
2018-01-31;07:30;VIALE REGIONE SICILIANA N.O. ;F;1;13,330065;38,112056
2018-01-31;08:50;VIA EUGENIO L'EMIRO ;F;1;13,337984;38,114292
2018-01-31;11:30;CORSO CALATAFIMI ;F;1;13,341273;38,107521
2018-01-31;13:20;SVINCOLO DI SALVO ROSARIO ;F;2;13,326834;38,149023
2018-01-31;19:45;VIALE REGIONE SICILIANA N.O. ;C;;13,329108;38,123526
2018-01-31;19:40;VIALE DUCA DEGLI ABRUZZI ;F;2;13,327504;38,170613
2018-02-01;09:45;VIA BALSANO SALESIO ;F;1;13,35303;38,119831
2018-01-31;18:10;PIAZZA EINSTEIN ALBERT ;F;1;13,329261;38,128698
2018-01-30;17:00;VIA GARIBALDI ;C;;13,367492;38,112333
2018-01-17;08:25;VIA SADAT ANWAR ;C;;13,356801;38,143031
2018-01-25;08:50;PIAZZA CAPONNETTO ANTONINO ;C;;13,357612;38,135651
2018-02-01;15:45;VIALE DE GASPERI ALCIDE ;F;1;13,335355;38,150078
2018-01-31;11:20;VIALE REGIONE SICILIANA N.O. ;C;;13,329765;38,128712
2018-02-01;12:10;VIA DELL'ORSA MINORE ;F;1;13,371484;38,09666
2018-02-01;16:00;VIA SCIUTI GIUSEPPE ;F;1;13,340985;38,135965
2018-02-01;21:15;STRADALE BELLOLAMPO KM.;F;1;13,276003;38,136935
2018-02-01;14:30;VIA CAMPOLO GIOVANNI ;F;1;13,335392;38,128654
2018-02-02;07:50;VIA SAURO NAZARIO ;C;;13,331783;38,123189
2018-02-02;08:55;VIA CORLEO SIMONE ;F;1;13,353698;38,128976
2018-02-02;10:40;VIA MARINUZZI ANTONIO ;F;1;13,365943;38,104377
2018-02-15;09:55;VIA MATTEI ;C;;13,32199;38,190911
2018-02-01;08:45;VIALE REGIONE SICILIANA N.O. ;C;;13,325105;38,1503
2018-02-02;13:15;VIA VILLAGRAZIA ;F;1;13,357012;38,091837
2018-02-02;14:30;CORSO CALATAFIMI ;F;2;13,344321;38,108779
2018-02-02;16:30;VIA SERGIO PAPA I ;C;;13,370527;38,152859
2018-02-02;18:30;VIA CONTESSA GIUDITTA ;F;1;13,34659;38,116608
2018-02-02;19:00;VIA ARCOLEO GIUSEPPE ;F;1;13,334167;38,106105
2018-02-02;21:45;VIA MARCHESE DI ROCCAFORTE ;F;1;13,346647;38,142904
2018-02-03;02:30;VIALE REGIONE SICILIANA S.E. ;C;;13,376724;38,09188
2018-02-03;04:30;VIA CORAZZA FILIPPO ;C;;13,363799;38,106771
2018-02-03;07:45;VIALE CAMPANIA ;C;;13,3391;38,1444
2018-02-03;13:00;VIALE PIAZZA ARMERINA ;F;1;13,295273;38,129874
2018-02-03;14:30;VIA CUTELLO SALVATORE ;C;;13,347805;38,094095
2018-02-03;16:30;VIA UDITORE ;F;1;13,328349;38,126928
2018-02-03;18:15;VIA CRISPI FRANCESCO ;F;1;13,360802;38,129286
2018-02-03;20:25;CORSO CALATAFIMI ;C;;13,348178;38,110419
2018-02-04;00:15;VIA XX SETTEMBRE ;C;;13,351868;38,127611
2018-02-04;02:00;VIA XX SETTEMBRE ;C;;13,351862;38,127572
2018-02-04;00:30;VIA LASCARIS COSTANTINO ;F;1;13,348709;38,116988
2018-02-04;05:30;PIAZZA VILLAGRAZIA ;F;1;13,369583;38,098031
2018-02-04;08:50;VIA MARCHESE UGO ;F;1;13,350847;38,130524
2018-02-04;10:45;VIA DEI CANTIERI ;F;2;13,364731;38,137647
2018-02-04;12:55;VIA BORREMANS GUGLIELMO ;C;;13,333963;38,132563
2018-02-04;14:40;STRADALE BELLOLAMPO KM.;C;;13,276002;38,137282
2018-02-04;17:30;VIALE REGIONE SICILIANA  ;F;1;13,330913;38,139774
2018-02-04;19:00;VIA MESSINA MARINE ;F;3;13,395276;38,102466
2018-02-05;02:00;VIALE MICHELANGELO ;F;1;13,31521;38,135844
2018-02-04;14:50;VIA AGOSTINO ANTONINO ;F;2;13,336971;38,112201
2018-02-05;10:20;VIA NOTARBARTOLO EMANUELE ;C;;13,345409;38,132586
2018-01-31;10:45;VIA ROMA ;F;1;13,361224;38,121155
2018-01-26;13:00;VIA CADORNA LUIGI GEN. ;C;;13,356158;38,109933
2018-02-05;11:45;VIA MAGG. PERNI FRANCESCO ;F;1;13,360435;38,108966
2018-02-05;16:10;VIA ORETO ;F;1;13,370747;38,101131
2018-02-05;18:15;VIA NEBRODI;F;1;13,327878;38,151872
2018-02-02;21:50;VIA ALTOFONTE ;C;;13,324041;38,079737
2018-02-05;22:20;VIA MISSORI COLONNELLO ;F;1;13,381785;38,099782
2018-02-05;22:30;FORO UMBERTO I ;R;;13,371039;38,120122
2018-01-31;09:20;LARGO IPPONA ;C;;13,298776;38,130962
2018-02-02;11:40;FORO UMBERTO I ;F;1;13,372927;38,117091
2018-02-03;18:00;FORO UMBERTO I ;C;;13,372943;38,117517
2018-02-02;16:35;VIALE REGIONE SICILIANA N.O. ;C;;13,329611;38,110661
2018-02-06;08:50;VIA TOSCANA ;C;;13,336975;38,144231
2018-02-02;14:00;VIALE LEONARDO DA VINCI ;C;;13,322289;38,126944
2018-02-06;12:05;VIA BARISANO DA TRANI ;C;;13,310125;38,135738
2018-02-06;15:05;VIA RAMPOLLA MARIANO CARD. ;C;;13,365986;38,147421
2018-02-06;19:00;VIA GIAFAR EMIRO ;F;1;13,387443;38,093725
2018-02-07;00:15;VIALE NICOLETTI ROSARIO ;C;;13,289593;38,191751
2018-02-01;12:05;VIA DELLA LIBERTA' ;C;;13,352084;38,129992
2018-02-07;07:45;VIALE REGIONE SICILIANA N.O. ;F;1;13,33014;38,139987
2018-02-07;07:30;VIA CIACULLI ;F;1;13,39018;38,087396
2018-02-07;08:48;VIALE REGIONE SICILIANA N.O. ;F;1;13,329751;38,113863
2018-02-05;13:40;VIALE LEONARDO DA VINCI ;F;1;13,329686;38,128879
2018-02-07;14:15;VIALE REGIONE SICILIANA ;C;;13,329064;38,123255
2018-02-05;17:30;VIALE LEONARDO DA VINCI ;C;;13,329519;38,128461
2018-02-07;14:55;CORSO CALATAFIMI ;F;1;13,340126;38,106893
2018-02-03;07:15;VIA ROCCELLA GUSTAVO ;C;;13,351469;38,101126
2018-02-07;15:30;VIALE REGIONE SICILIANA ;F;1;13,334323;38,098035
2018-02-05;14:20;VIA LA LOGGIA GAETANO ;C;;13,333358;38,107244
2018-02-07;19:00;VIALE REGIONE SICILIANA N.O. ;C;;13,318396;38,15507
2018-02-08;09:40;VIA ROCCELLA GUSTAVO ;F;1;13,350642;38,098518
2018-02-08;12:15;VIA TURRISI NICOLO' ;F;1;13,352446;38,120208
2018-01-19;15:20;VIA DEL VESPRO ;C;;13,3622;38,106909
2018-02-08;16:10;PIAZZA PERANNI DOMENICO ;F;1;13,350635;38,115965
2018-02-08;17:15;VIA BERNINI GIAN LORENZO ;F;2;13,323978;38,13455
2018-02-08;22:40;VIA PARISI ENRICO ;R;1;13,352314;38,125897
2018-01-18;19:30;VIA GOETHE ;F;1;13,350787;38,120678
2018-02-09;10:30;VIA MORMINO IGNAZIO ;C;;13,312694;38,175394
2018-02-05;12:15;VIALE CROCE ROSSA ;F;1;13,341339;38,146254
2018-02-09;08:55;VIALE GALILEO GALILEI ;F;1;13,334432;38,130876
2018-02-09;15:15;VIA ICARO ;C;;13,307217;38,196525
2018-02-09;15:35;VIA DELLA LIBERTA' ;F;1;13,346144;38,139125
2018-01-26;22:30;VIALE REGIONE SICILIANA S.E. ;C;;13,383627;38,089818
2018-01-31;09:30;VIA MAQUEDA ;C;;13,361621;38,115573
2018-02-01;19:00;VIA DANTE ;C;;13,353189;38,124223
2018-02-02;19:30;VIALE REGIONE SICILIANA ;C;;13,330386;38,103057
2018-02-02;20:25;VIA ROMA ;C;;13,358413;38,125723
2018-02-03;09:00;CORSO DEI MILLE ;C;;13,369879;38,110092
2018-02-08;14:45;VIA CASTELFORTE ;C;;13,327254;38,173004
2018-02-09;14:05;VIA DE AMICIS EDMONDO ;F;1;13,347532;38,139567
2018-02-10;00:01;VIA CRISPI FRANCESCO ;C;;13,360899;38,129428
2018-02-10;03:29;VIALE DELL'OLIMPO ;C;;13,300688;38,188683
2018-02-10;12:05;FORO UMBERTO I ;F;1;13,373317;38,117297
