ID,TipoPersona,Sesso,TipoLesione
3623169,Conducente,F,Rimandato
3623169,Passeggero,M,Rimandato
3623169,Passeggero,F,Rimandato
3623169,Passeggero,M,Rimandato
3623169,Passeggero,F,Illeso
3623169,Passeggero,F,Rimandato
3623190,Conducente,F,Rimandato
3623197,Conducente,M,Illeso
3623197,Conducente,M,Illeso
3623215,Pedone,M,Rimandato
3623215,Conducente,F,Illeso
3623232,Conducente,F,Illeso
3623232,Passeggero,F,Illeso
3623232,Conducente,M,Illeso
3623315,Conducente,M,Illeso
3623315,Passeggero,F,Illeso
3623315,Passeggero,M,Illeso
3623315,Passeggero,F,Illeso
3623543,Conducente,M,Illeso
3623543,Passeggero,F,Illeso
3623543,Conducente,M,Rimandato
3623544,Conducente,F,Illeso
3623544,Passeggero,M,Illeso
3623544,Passeggero,F,Illeso
3623544,Passeggero,M,Illeso
3623545,Conducente,M,Illeso
3623545,Conducente,M,Illeso
3623553,Conducente,F,Illeso
3623553,Passeggero,M,Illeso
3623559,Conducente,M,Illeso
3623559,Passeggero,F,Illeso
3623561,Conducente,M,Illeso
3623561,Passeggero,F,Illeso
3623561,Passeggero,F,Illeso
3623561,Passeggero,M,Illeso
3623561,Conducente,M,Illeso
3623561,Passeggero,F,Illeso
3623562,Conducente,M,Illeso
3623562,Passeggero,F,Illeso
3623564,Conducente,M,Illeso
3623564,Conducente,M,Rifiuta cure immediate
3623564,Passeggero,F,Illeso
3623564,Conducente,M,Rifiuta cure immediate
3623568,Conducente,M,Illeso
3623568,Conducente,M,Illeso
3623570,Conducente,M,Rimandato
3623570,Conducente,M,Illeso
3623570,Conducente,M,Illeso
3623570,Passeggero,M,Illeso
3623570,Passeggero,F,Illeso
3623571,Conducente,M,Illeso
3623571,Conducente,F,Illeso
3623572,Pedone,F,Rimandato
3623572,Conducente,M,Illeso
3623575,Conducente,M,Rimandato
3623575,Conducente,M,Illeso
3623578,Passeggero,M,Illeso
3623580,Conducente,M,Illeso
3623580,Conducente,M,Illeso
3623580,Passeggero,M,Illeso
3623581,Conducente,M,Rimandato
3623583,Conducente,M,Illeso
3623583,Passeggero,F,Illeso
3623583,Conducente,M,Rimandato
3623585,Conducente,M,Illeso
3623585,Conducente,M,Illeso
3623589,Conducente,M,Illeso
3623589,Passeggero,M,Illeso
3623590,Conducente,M,Illeso
3623590,Conducente,M,Illeso
3623596,Conducente,M,Illeso
3623596,Conducente,F,Rimandato
3623597,Pedone,M,Rimandato
3623597,Conducente,M,Rimandato
3623605,Conducente,F,Rifiuta cure immediate
3623605,Passeggero,F,Rifiuta cure immediate
3623605,Conducente,M,Illeso
3623606,Pedone,F,Rimandato
3623606,Conducente,F,Illeso
3623612,Conducente,F,Illeso
3623616,Conducente,F,Illeso
3623616,Passeggero,M,Illeso
3623619,Conducente,M,Illeso
3623619,Passeggero,F,Illeso
3623619,Passeggero,M,Rimandato
3623619,Conducente,M,Illeso
3623619,Passeggero,M,Illeso
3623619,Passeggero,M,Illeso
3623624,Conducente,M,Rifiuta cure immediate
3623624,Passeggero,M,Rifiuta cure immediate
3623624,Conducente,F,Illeso
3623634,Conducente,M,Illeso
3623634,Conducente,M,Illeso
3623634,Passeggero,F,Illeso
3623635,Conducente,F,Illeso
3623635,Passeggero,F,Illeso
3623635,Passeggero,F,Illeso
3623635,Conducente,M,Illeso
3623635,Conducente,F,Illeso
3623635,Passeggero,F,Illeso
3623635,Conducente,M,Rimandato
3623635,Conducente,F,Rimandato
3623637,Conducente,M,Illeso
3623637,Passeggero,M,Illeso
3623637,Conducente,M,Illeso
3623637,Passeggero,M,Illeso
3623637,Passeggero,M,Illeso
3623638,Conducente,M,Illeso
3623638,Passeggero,F,Illeso
3623638,Passeggero,F,Illeso
3623638,Conducente,M,Rimandato
3623641,Conducente,F,Illeso
3623641,Conducente,F,Illeso
3623641,Conducente,M,Illeso
3623643,Conducente,M,Illeso
3623643,Passeggero,M,Illeso
3623643,Conducente,M,Illeso
3623643,Passeggero,F,Illeso
3623647,Conducente,M,Illeso
3623647,Conducente,M,Illeso
3623647,Passeggero,F,Illeso
3623650,Conducente,M,Illeso
3623654,Pedone,F,Prognosi riservata
3623654,Conducente,M,Illeso
3623656,Pedone,F,Rimandato
3623656,Conducente,M,Illeso
3623657,Conducente,F,Rifiuta cure immediate
3623657,Conducente,M,Illeso
3623670,Conducente,M,Rimandato
3623673,Conducente,F,Rimandato
3623673,Passeggero,M,Illeso
3623678,Conducente,M,Illeso
3623678,Conducente,M,Illeso
3623683,Conducente,F,Illeso
3623688,Conducente,F,Illeso
3623688,Passeggero,F,Illeso
3623689,Conducente,M,Illeso
3623689,Passeggero,M,Illeso
3623689,Passeggero,M,Illeso
3623689,Passeggero,F,Illeso
3623689,Conducente,M,Illeso
3623689,Passeggero,F,Rimandato
3623695,Conducente,F,Illeso
3623695,Passeggero,M,Illeso
3623695,Passeggero,M,Illeso
3623695,Conducente,M,Illeso
3623695,Passeggero,M,Illeso
