ID,Modello,Targa,Tipo veicolo
3760056,Autovettura privata,,
3760062,Autovettura privata,,
3760062,Autovettura privata,,
3760078,Motociclo a solo,,
3760112,Autovettura privata,,
3760127,Autovettura privata,,
3760127,Autovettura privata,,
3760131,Autovettura privata,,
3760131,Autovettura privata,,
3760131,Autovettura privata,,
3760131,Autovettura privata,,
3760162,Autovettura privata,,
3760162,Autovettura privata,,
3760162,Autovettura privata,,
3760239,Autovettura privata,,
3760239,Autovettura privata,,
3760252,,,
3760252,Autovettura privata,,
3760252,Autovettura privata,,
3760252,Autovettura privata,,
3760252,Autovettura privata,,
3760263,Autovettura privata,,
3760263,Autovettura privata,,
3760263,Autovettura privata,,
3760263,Quadriciclo leggero,,
3760263,Quadriciclo leggero,,
3760297,Autovettura privata,,
3760297,Autovettura privata,,
3760306,Autovettura privata,,
3760309,Autovettura privata,,
3760309,Autovettura privata,,
3760309,Autovettura privata,,
3760309,Autovettura privata,,
3760309,Autovettura privata,,
3760320,Autovettura privata,,
3760320,Autovettura privata,,
3760320,Autovettura privata,,
3760329,Autovettura privata,,
3760329,Motociclo a solo,,
3760331,Autovettura privata,,
3760331,Autovettura privata,,
3760331,Autovettura pubblica,,
3760337,Autovettura privata,,
3760337,Autovettura privata,,
3760342,Motociclo a solo,,
3760342,Autovettura privata,,
3760345,Autovettura privata,,
3760345,Autovettura privata,,
3760346,Autovettura privata,,
3760346,Autovettura privata,,
3760346,Autovettura privata,,
3760346,Autovettura privata,,
3760346,Autovettura privata,,
3760347,Autovettura privata,,
3760347,Autovettura privata,,
3760347,Autovettura privata,,
3760361,Autovettura privata,,
3760361,Autovettura privata,,
3760366,Autovettura privata,,
3760366,Autovettura privata,,
3760414,,,
3760414,Autovettura privata,,
3760454,Autocarro inferiore 35 q.,,
3760454,Autocarro inferiore 35 q.,,
3760454,Autovettura privata,,
3760477,Autovettura privata,,
3760477,Motociclo con passeggero,,
3760477,Motociclo con passeggero,,
3760552,Autovettura privata,,
3760552,Autovettura privata,,
3760552,Autovettura privata,,
3760552,Autocarro inferiore 35 q.,,
3760552,Autocarro inferiore 35 q.,,
3760609,Motociclo a solo,,
3760611,Autobus urbano,,
3760611,Autobus urbano,,
3760611,Autobus urbano,,
3760611,Autobus urbano,,
3760611,Autobus urbano,,
3760611,Autovettura privata,,
3760612,Trattore stradale,,
3760612,Autovettura privata,,
3760619,Autovettura privata,,
3760619,Autovettura privata,,
3760676,Autovettura privata,,
3760676,Autovettura privata,,
3760676,Autovettura privata,,
3760679,Autocarro superiore 35 q.,,
3760679,Autocarro inferiore 35 q.,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760682,Autovettura privata,,
3760701,,,
3760701,Autovettura privata,,
3760724,Motociclo con passeggero,,
3760724,Motociclo con passeggero,,
3760724,Autovettura privata,,
3760735,,,
3760735,Autovettura pubblica,,
3760752,Autovettura privata,,
3760761,Autocarro inferiore 35 q.,,
3760892,Autovettura privata,,
3761061,Autovettura privata,,
3761062,Autovettura privata,,
3761062,Autovettura privata,,
3761062,Autovettura privata,,
3761063,Motociclo a solo,,
3761063,Autovettura privata,,
3761070,Autovettura privata,,
3761078,Autovettura privata,,
3761078,Autovettura privata,,
3761080,Autovettura privata,,
3761080,Autovettura privata,,
3761091,,,
3761091,Autovettura privata,,
3761099,Autovettura privata,,
3761099,Autovettura privata,,
3761115,Autovettura privata,,
3761116,Autovettura privata,,
3761116,Autovettura privata,,
3761122,Autovettura privata,,
3761125,Autovettura privata,,
3761125,Motociclo a solo,,
3761132,Autovettura privata,,
3761132,Autovettura privata,,
3761132,Autovettura privata,,
3761132,Ciclomotore,,
3761134,Autovettura privata,,
3761134,Autovettura privata,,
3761139,Autovettura privata,,
3761139,Autovettura privata,,
3761139,Autovettura privata,,
3761139,Autovettura privata,,
3761139,Autovettura privata,,
3761141,Autovettura privata,,
3761141,Autovettura privata,,
3761142,Ciclomotore,,
3761148,Motociclo a solo,,
3761148,Autovettura privata,,
3761148,Autovettura privata,,
3761155,Motociclo a solo,,
3761155,Autovettura privata,,
3761155,Autovettura privata,,
3761159,Autovettura privata,,
3761159,Ciclomotore con passeggero,,
3761162,,,
3761162,Autovettura privata,,
3761164,Autovettura privata,,
3761164,Autovettura privata,,
3761168,Autovettura privata,,
3761168,Autovettura privata,,
3761169,Motociclo a solo,,
3761169,Autovettura privata,,
3761169,Autovettura privata,,
3761171,Autovettura privata,,
3761171,Autovettura privata,,
3761171,Autovettura privata,,
3761179,Autovettura privata,,
3761179,Autovettura privata,,
3761191,,,
3761191,Motociclo a solo,,
3761194,Autovettura privata,,
3761194,Autocarro inferiore 35 q.,,
3761199,Autovettura privata,,
3761199,Autovettura privata,,
3761199,Autovettura privata,,
3761206,,,
3761206,Autovettura privata,,
3761213,Autovettura privata,,
3761221,Autovettura privata,,
3761221,Autovettura privata,,
3761221,Autovettura privata,,
3761265,Autovettura privata,,
3761265,Autovettura privata,,
3761265,Autovettura privata,,
3761265,Autovettura privata,,
3761270,Autocarro inferiore 35 q.,,
3761276,Autovettura privata,,
3761276,Autovettura privata,,
3761279,Autovettura privata,,
3761280,Autovettura privata,,
3761280,Autovettura privata,,
3761282,Autovettura privata,,
3761282,Autovettura privata,,
3761295,Autovettura privata,,
3761320,Autovettura privata,,
3761320,Autovettura privata,,
3761325,Autovettura privata,,
3761325,Autovettura privata,,
3761328,Motociclo a solo,,
3761328,Autovettura privata,,
3761330,Autovettura privata,,
3761330,Motociclo a solo,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761344,Autovettura privata,,
3761347,Motociclo a solo,,
3761363,Autovettura privata,,
3761363,Autovettura privata,,
3761363,Autovettura privata,,
3761363,Motociclo a solo,,
3761371,Autovettura privata,,
3761371,Autovettura privata,,
3761371,Autovettura privata,,
