ID,Via,Coordinate,Fondo Stradale,Pavimentazione,Illuminazione,Data,Ora,Tipo,Meteo,Visibilita,N. Illesi,N. Feriti,N. Prognosi Riservata,N. Deceduti
3644840,VIA DI VALLERANO,"(41.78541,12.46505)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,17/01/2018,10:30,Veicolo in marcia contro ostacolo accidentale,Sereno,Buona,1,0,0,0
3644851,VIA ANAGNI,"(41.89001,12.55609)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,13:40,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,2,1,0,0
3644854,VIA DEL MARE,"(41.84026,12.46323)",Asciutto,Asfaltata,Ore Diurne,17/01/2018,12:35,Veicolo in marcia contro ostacolo accidentale,Sereno,Buona,1,0,0,0
3644859,VIA DELL'ARCHITETTURA,"(41.83064,12.47644)",Asciutto,Asfaltata,Ore Diurne,17/01/2018,09:20,Scontro frontale/laterale DX fra veicoli in marcia,Sereno,Buona,1,1,0,0
3644871,VIA DI MEZZOCAMMINO,"(41.79947,12.41725)",Bagnato (pioggia),Asfaltata,Sufficiente,17/01/2018,05:20,Veicolo in marcia contro ostacolo fisso,Sereno,Buona,0,2,0,0
3644888,VIALE ADRIATICO,"(41.94333,12.53727)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,10:10,Investimento di pedone,Sereno,Buona,1,2,0,0
3644908,VIA PONTINA,"(41.77883,12.44493)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,14:45,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3644922,VIALE DI VALLE AURELIA,"(41.90222,12.43703)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,11:35,Veicolo in marcia contro veicolo arresto,Sereno,Buona,2,0,0,0
3644991,VIA FEDERICO BORROMEO,"(41.91634,12.41508)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,14:55,Veicolo in marcia contro veicolo in sosta,Sereno,Buona,1,0,0,0
3645019,VIALE CASTRO PRETORIO,"(41.90623,12.50534)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,09:15,Scontro laterale fra veicoli in marcia,Sereno,Buona,2,1,0,0
3645029,CIRCONVALLAZIONE GIANICOLENSE,"(41.87247,12.44956)",Asciutto,Asfaltata,Ore Diurne,18/01/2018,09:50,Scontro frontale fra veicoli in marcia,Sereno,Buona,4,0,0,0
