Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Tipo,Causa,Visibilità,Fondo_stradale,Meteo,Pavimentazione,Illuminazione
Palermo,2018-01-16,17:40,VIA DAMIANI ALMEJDA ,"(38.1315,13.347409)",,1,,,,,,,,,
Palermo,2018-01-17,01:00,VIA TRINACRIA ,"(38.148803,13.338098)",,1,,,,,,,,,
Palermo,2018-01-17,01:30,VIA MESSINA MONTAGNE ,"(38.083197,13.426764)",,1,,,,,,,,,
Palermo,2018-01-05,12:25,VIALE LEONARDO DA VINCI ,"(38.129242,13.33192)",,,,,,,,,,,
Palermo,2018-01-08,14:10,VIA PERRICONE PIETRO ,"(38.145539,13.315409)",,1,,,,,,,,,
Palermo,2018-01-17,10:00,VIA DE AMICIS EDMONDO ,"(38.140038,13.347243)",,,,,,,,,,,
Palermo,2018-01-17,14:30,VIA PITRE' GIUSEPPE ,"(38.11051,13.329716)",,,,,,,,,,,
Palermo,2018-01-17,13:15,VIA EUGENIO L'EMIRO ,"(38.114394,13.338315)",,1,,,,,,,,,
Palermo,2018-01-17,14:45,VIA VILLA ROSATO ,"(38.15992,13.330814)",,1,,,,,,,,,
Palermo,2018-01-17,20:05,VIA VITTORIO EMANUELE ,"(38.114683,13.358989)",,,,,,,,,,,
Palermo,2018-01-17,20:45,VIA MESSINA MARINE ,"(38.1095,13.37949)",,,,,,,,,,,
Palermo,2018-01-17,22:30,PIAZZA AMENDOLA GIOVANNI ,"(38.121842,13.351883)",,1,,,,,,,,,
Palermo,2018-01-18,08:20,VIALE STRASBURGO ,"(38.150211,13.332169)",,1,,,,,,,,,
Palermo,2018-01-18,07:55,PIAZZA CASTELNUOVO ,"(38.123797,13.354942)",,1,,,,,,,,,
Palermo,2018-01-17,13:55,VIA JOPPOLO BENIAMINO ,"(38.114055,13.338834)",,,,,,,,,,,
Palermo,2018-01-18,09:10,PIAZZA CAPONNETTO ANTONINO ,"(38.13535,13.356403)",,,,,,,,,,,
Palermo,2018-01-18,10:45,VIA DEL VESPRO ,"(38.106534,13.362293)",,,,,,,,,,,
Palermo,2018-01-18,15:15,VIA SPERONE ,"(38.097772,13.397923)",,4,,,,,,,,,
Palermo,2018-01-18,13:25,VIA SIRACUSA ,"(38.127412,13.35139)",,1,,,,,,,,,
Palermo,2018-01-18,18:00,VIALE REGIONE SICILIANA N.O. ,"(38.13562,13.330611)",,1,,,,,,,,,
Palermo,2018-01-18,20:45,VIA CALVI PASQUALE ,"(38.130111,13.35494)",,1,,,,,,,,,
Palermo,2018-01-18,20:50,VIA PRINCIPE DI PALAGONIA ,"(38.132374,13.337275)",,1,,,,,,,,,
Palermo,2018-01-18,16:10,VIALE REGIONE SICILIANA S.E. ,"(38.096494,13.335341)",,,,,,,,,,,
Palermo,2018-01-19,07:50,VIALE STRASBURGO ,"(38.159154,13.323994)",,1,,,,,,,,,
Palermo,2018-01-19,08:00,CORSO CALATAFIMI ,"(38.10205,13.32779)",,1,,,,,,,,,
Palermo,2018-01-19,13:00,VIA NENNI PIETRO ,"(38.151671,13.323167)",,,,,,,,,,,
Palermo,2018-01-19,14:10,CORSO CALATAFIMI ,"(38.111394,13.350946)",,1,,,,,,,,,
Palermo,2018-01-19,16:05,VIA PRINCIPE DI PALAGONIA ,"(38.136887,13.334606)",,,,,,,,,,,
Palermo,2018-01-19,17:50,VIA ORETO ,"(38.108191,13.36625)",,,,,,,,,,,
Palermo,2018-01-20,00:15,VIA BASILE ERNESTO ,"(38.095376,13.341448)",,,,,,,,,,,
Palermo,2018-01-20,01:05,VIA DUCA DELLA VERDURA ,"(38.13366,13.34977)",,2,,,,,,,,,
Palermo,2018-01-20,02:45,PIAZZA TONNARAZZA ,"(38.112063,13.378233)",,,,,,,,,,,
Palermo,2018-01-20,08:45,PZZA ORLANDO VITTORIO EMANUELE,"(38.119257,13.350822)",,1,,,,,,,,,
Palermo,2018-01-20,12:30,PIAZZA DELLA PACE ,"(38.13116,13.35919)",,1,,,,,,,,,
Palermo,2018-01-20,13:45,VIA ROCCELLA GUSTAVO ,"(38.095391,13.347644)",,1,,,,,,,,,
Palermo,2018-01-20,17:10,VIA ALLA FALCONARA ,"(38.117429,13.291743)",,1,,,,,,,,,
Palermo,2018-01-20,17:30,VIALE REGIONE SICILIANA S.E. ,"(38.087257,13.395473)",,,,,,,,,,,
Palermo,2018-01-21,01:50,VIALE LEONARDO DA VINCI ,"(38.128082,13.32731)",,,,,,,,,,,
Palermo,2018-01-21,05:45,VIA CARINI ISIDORO ,"(38.129051,13.355584)",,2,,,,,,,,,
Palermo,2018-01-21,09:00,VIALE GALILEO GALILEI ,"(38.132655,13.333942)",,3,,,,,,,,,
Palermo,2018-01-21,08:35,VIA ROMA ,"(38.119795,13.361906)",,,,,,,,,,,
Palermo,2018-01-21,13:15,VIA GRAVINA AMMIRAGLIO ,"(38.12564,13.360126)",,2,,,,,,,,,
Palermo,2018-01-21,11:00,VIA ALBIMONTE GUGLIELMO ,"(38.116514,13.346634)",,1,,,,,,,,,
Palermo,2018-01-21,21:50,VIA CAVOUR CAMILLO ,"(38.121201,13.357746)",,3,,,,,,,,,
Palermo,2018-01-22,09:00,VIA ALBANESE ENRICO ,"(38.129818,13.354196)",,,,,,,,,,,
Palermo,2018-01-22,08:55,VIA DOGALI ,"(38.124775,13.311678)",,1,,,,,,,,,
Palermo,2018-01-22,11:10,VIA DELLA LIBERTA' ,"(38.139146,13.34613)",,,,,,,,,,,
Palermo,2018-01-22,12:40,VIA COLOMBA ,"(38.106009,13.357761)",,1,,,,,,,,,
Palermo,2018-01-22,14:50,CORSO DEI MILLE ,"(38.08757,13.421589)",,1,,,,,,,,,
Palermo,2018-01-10,08:30,VIA DANTE ,"(38.122528,13.345725)",,1,,,,,,,,,
Palermo,2018-01-15,15:25,VIA PRINCIPE DI PATERNO' ,"(38.139788,13.341023)",,1,,,,,,,,,
Palermo,2018-01-17,15:30,VIA MESSINA MARINE ,"(38.100145,13.402342)",,,,,,,,,,,
Palermo,2018-01-18,10:50,VIALE REGIONE SICILIANA N.O. ,"(38.122395,13.328772)",,,,,,,,,,,
Palermo,2018-01-21,17:45,VIALE REGIONE SICILIANA N.O. ,"(38.158395,13.313922)",,,,,,,,,,,
Palermo,2018-01-22,17:25,VIA PARLATORE FILIPPO ,"(38.124521,13.343684)",,1,,,,,,,,,
Palermo,2018-01-22,17:15,VIA LI PUMA EPIFANIO ,"(38.094482,13.406856)",,,,,,,,,,,
Palermo,2018-01-22,19:00,VIALE DELLA RESURREZIONE ,"(38.169928,13.324618)",,1,,,,,,,,,
Palermo,2018-01-23,06:45,VIA DI BLASI E. GIOVANNI ,"(38.125846,13.31381)",,,,,,,,,,,
Palermo,2018-01-23,10:30,VIALE NICOLETTI ROSARIO ,"(38.191877,13.289052)",,,,,,,,,,,
Palermo,2018-01-23,11:00,CSO FINOCCHIARO APRILE CAMILLO ,"(38.118467,13.34705)",,1,,,,,,,,,
Palermo,2018-01-23,17:00,PIAZZA BARBARINO COSTANZO ,"(38.099771,13.334558)",,,,,,,,,,,
Palermo,2018-01-23,14:40,VIALE LEONARDO DA VINCI ,"(38.126916,13.32216)",,1,,,,,,,,,
Palermo,2018-01-23,14:45,VIALE REGIONE SICILIANA ,"(38.089735,13.384179)",,2,,,,,,,,,
Palermo,2018-01-23,18:10,VIA MESSINA MARINE ,"(38.096785,13.426395)",,1,,,,,,,,,
Palermo,2018-01-19,00:30,VIA MATTARELLA PIERSANTI ,"(38.132897,13.346589)",,,,,,,,,,,
Palermo,2018-01-22,18:20,VIA IMPERATORE FEDERICO ,"(38.146678,13.351828)",,,,,,,,,,,
Palermo,2018-01-22,21:00,VIALE MARCHESE DI VILLABIANCA ,"(38.134319,13.352234)",,1,,,,,,,,,
Palermo,2018-01-24,09:00,CORSO DEI MILLE ,"(38.1015,13.381633)",,2,,,,,,,,,
Palermo,2018-01-24,08:30,VIA DELL'AIRONE,"(38.090204,13.358226)",,2,,,,,,,,,
Palermo,2018-01-23,16:30,VIALE REGIONE SICILIANA S.E. ,"(38.087304,13.358978)",,,,,,,,,,,
Palermo,2018-01-24,10:00,CORSO DEI MILLE ,"(38.101671,13.381247)",,1,,,,,,,,,
Palermo,2018-01-24,15:10,VIALE LEONARDO DA VINCI ,"(38.128112,13.327285)",,1,,,,,,,,,
Palermo,2018-01-24,16:25,VIA TASCA LANZA ,"(38.111032,13.329389)",,1,,,,,,,,,
Palermo,2018-01-24,16:00,VIA MORELLO NUNZIO ,"(38.133376,13.34366)",,1,,,,,,,,,
Palermo,2018-01-24,19:45,VIA LASCARIS COSTANTINO ,"(38.117176,13.349532)",,,,,,,,,,,
Palermo,2018-01-25,00:50,VIA COSTANTINO DOMENICO ,"(38.131459,13.344797)",,,,,,,,,,,
Palermo,2018-01-25,08:10,VIA SALINAS ANTONINO ,"(38.130716,13.345217)",,1,,,,,,,,,
Palermo,2018-01-25,16:20,VIALE REGIONE SICILIANA N.O. ,"(38.132823,13.330173)",,1,,,,,,,,,
Palermo,2018-01-24,10:05,VIA BELGIO ,"(38.15032,13.328821)",,,,,,,,,,,
Palermo,2018-01-25,18:15,VIA PIAZZA MICHELE ,"(38.116002,13.34319)",,1,,,,,,,,,
Palermo,2018-01-25,23:30,PIAZZA SETTIMO RUGGERO ,"(38.124332,13.355688)",,2,,,,,,,,,
Palermo,2018-01-24,07:15,VIA DANTE ,"(38.121257,13.340488)",,,,,,,,,,,
Palermo,2018-01-24,11:30,VIA MATTARELLA PIERSANTI ,"(38.132628,13.346811)",,,,,,,,,,,
Palermo,2018-01-25,15:15,PIAZZA VERDI GIUSEPPE ,"(38.120653,13.356635)",,,,,,,,,,,
Palermo,2018-01-26,07:40,CORSO CALATAFIMI ,"(38.105031,13.335289)",,2,,,,,,,,,
Palermo,2018-01-26,09:15,VIA THAON DE REVEL PAOLO AMM. ,"(38.146114,13.360172)",,,,,,,,,,,
Palermo,2018-01-26,11:45,VIA TRAPANI PESCIA ,"(38.172898,13.326688)",,1,,,,,,,,,
Palermo,2018-01-25,10:35,VIA CALA ,"(38.12022,13.366291)",,,,,,,,,,,
Palermo,2018-01-26,13:00,VIA MECCIO SALVATORE ,"(38.123009,13.354124)",,,,,,,,,,,
Palermo,2018-01-26,15:20,VIA MARCHESE DI ROCCAFORTE ,"(38.142891,13.346658)",,1,,,,,,,,,
Palermo,2018-01-26,19:20,PIAZZA MALASPINA ,"(38.131383,13.337828)",,1,,,,,,,,,
Palermo,2018-01-26,20:10,VIALE STRASBURGO ,"(38.159915,13.323249)",,2,,,,,,,,,
Palermo,2018-01-27,03:00,VIA MESSINA MARINE ,"(38.096735,13.426987)",,,,,,,,,,,
Palermo,2018-01-27,12:00,VIA LA MANTIA VITO ,"(38.120599,13.346346)",,1,,,,,,,,,
Palermo,2018-01-27,14:30,VIA CAVOUR CAMILLO ,"(38.121817,13.360464)",,,,,,,,,,,
Palermo,2018-01-27,20:15,VIA PITRE' GIUSEPPE ,"(38.110446,13.335252)",,1,,,,,,,,,
Palermo,2018-01-28,08:15,VIA IMERA ,"(38.117013,13.34872)",,2,,,,,,,,,
Palermo,2018-01-07,23:05,VIA JEMMA ROCCO ,"(38.103851,13.364604)",,,,,,,,,,,
Palermo,2018-01-28,17:20,VIA JUVARA ALOISIO ,"(38.139337,13.361414)",,,,,,,,,,,
Palermo,2018-01-28,21:55,VIA PETRALIA SOTTANA ,"(38.115807,13.326007)",,1,,,,,,,,,
Palermo,2018-01-27,14:10,VIALE REGIONE SICILIANA S.E. ,"(38.09497,13.337418)",,1,,,,,,,,,
Palermo,2018-01-27,15:30,PIAZZA CASTELNUOVO ,"(38.124936,13.354755)",,1,,,,,,,,,
Palermo,2018-01-28,04:15,VIA MESSINA MARINE ,"(38.104411,13.390591)",,1,,,,,,,,,
Palermo,2018-01-29,05:30,VIA LINCOLN ,"(38.111865,13.368783)",,1,,,,,,,,,
Palermo,2018-01-29,09:30,FORO UMBERTO I ,"(38.115174,13.376165)",,,,,,,,,,,
Palermo,2018-01-29,11:30,VIA CRISPI FRANCESCO ,"(38.123821,13.364657)",,1,,,,,,,,,
Palermo,2018-01-29,13:30,VIA PORRAZZI ,"(38.103523,13.333965)",,1,,,,,,,,,
Palermo,2018-01-29,15:30,VIALE DUCA DEGLI ABRUZZI ,"(38.169826,13.328175)",,1,,,,,,,,,
Palermo,2018-01-29,18:00,VIALE DIANA ,"(38.148584,13.345676)",,1,,,,,,,,,
Palermo,2018-01-29,23:30,VIA PADRE GIUSEPPE PUGLISI ,"(38.103527,13.386348)",,2,,,,,,,,,
Palermo,2018-01-29,18:00,VIALE REGIONE SICILIANA N.O. ,"(38.130939,13.330064)",,1,,,,,,,,,
Palermo,2018-01-30,10:30,VIA CRISPI FRANCESCO ,"(38.130344,13.360367)",,,,,,,,,,,
Palermo,2018-01-24,11:00,VIA LUTHER KING MARTIN ,"(38.1472,13.35344)",,,,,,,,,,,
Palermo,2018-01-25,19:00,VIA ORETO ,"(38.099627,13.371821)",,1,,,,,,,,,
Palermo,2018-01-26,12:10,VIA BASILE ERNESTO ,"(38.100845,13.347503)",,1,,,,,,,,,
Palermo,2018-01-26,18:45,VIA DELLA LIBERTA' ,"(38.134996,13.348845)",,,,,,,,,,,
Palermo,2018-01-30,15:00,VIA BRUNELLESCHI FILIPPO ,"(38.139665,13.314061)",,1,,,,,,,,,
Palermo,2018-01-17,12:25,VIA MAQUEDA ,"(38.115836,13.361231)",,1,,,,,,,,,
Palermo,2018-01-31,02:00,VIALE LEONARDO DA VINCI ,"(38.12661,13.309489)",,,,,,,,,,,
Palermo,2018-01-31,07:30,VIALE REGIONE SICILIANA N.O. ,"(38.112056,13.330065)",,1,,,,,,,,,
Palermo,2018-01-31,08:50,VIA EUGENIO L'EMIRO ,"(38.114292,13.337984)",,1,,,,,,,,,
Palermo,2018-01-31,11:30,CORSO CALATAFIMI ,"(38.107521,13.341273)",,1,,,,,,,,,
Palermo,2018-01-31,13:20,SVINCOLO DI SALVO ROSARIO ,"(38.149023,13.326834)",,2,,,,,,,,,
