ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
03520171221213052,Bergamo, PIAZZA EMANUELE FILIBERTO all'intersezione con VIA MUZIO,,,,"(45.6731, 9.662)"
03520171221153553,Bergamo, VIALE ROMA all'intersezione semaforizzata con VIA PETRARCA,,,,"(45.6963, 9.6684)"
03520171221131554,Bergamo, VIA CODUSSI M. all'intersezione con VIA F.LLI BRONZETTI,,,,"(45.7022, 9.6867)"
03520171221153555,Bergamo, VIA BORGO PALAZZO in prossimità del civico n.l/o 28,,,,"(45.6927, 9.6951)"
03520171220185056,Bergamo, VIA CELADINA all'interno dei condomini al civico n. 35,,,,"(45.6917, 9.7113)"
03520171220145557,Bergamo, S.P. EX 671  in corrispondenza della chilometrica6.4,,,,"(45.676, 9.6567)"
03520171220210058,Bergamo, VIA BASCHENIS E. all'intersezione con VIA DON L. PALAZZOLO,,,,"(45.6882, 9.6643)"
03520171220100059,Bergamo, VIA NOLI in prossimità del civico n.12/A,,,,"(45.7006, 9.6831)"
03520171220124560,Bergamo, VIA BORGO PALAZZO all'intersezione con ROGGIA PONTE PERDUTO,,,,"(45.6888, 9.7095)"
03520171220091061,Bergamo, VIA SAN GIORGIO all'intersezione con L.GO TIRONI,,,,"(45.6866, 9.6633)"
03520171220154062,Bergamo, VIA FARA in prossimità del palo luce n.31,,,,"(45.7066, 9.6651)"
03520171219133063,Bergamo, ROTATORIA VIA PER ORIO all'intersezione con S.P. 591,,,,"(45.6764, 9.6848)"
03520171219141564,Bergamo, VIA GAVAZZENI altezza carrale CISAF,,,,"(45.6907, 9.684)"
03520171219162065,Bergamo, VIA STATUTO all'intersezione con VIA MILANO,,,,"(45.6967, 9.6586)"
03520171219171566,Bergamo, VIA PIATTI all'intersezione semaforizzata con VIA GABRIELE ROSA,,,,"(45.6908, 9.6877)"
03520171219201067,Bergamo, VIA TULLI E. in corrispondenza di  Pronto Moda,,,,"(45.6726, 9.6753)"
03520171218145068,Bergamo, VIA BORGO PALAZZO all'intersezione semaforizzata con VIALE PIROVANO,,,,"(45.6927, 9.6951)"
03520171218112069,Bergamo, VIA SAN GIOVANNI BOSCO all'intersezione semaforizzata con VIA DE GRASSI,,,,"(45.6838, 9.6762)"
03520171218172570,Bergamo, AUTOSTRADA all'intersezione con ROTATORIA AUTOSTRADA,,,,"(45.6756, 9.6697)"
03520170513171071,Bergamo, PIAZZALE DELLA MALPENSATA 2° vialetto partendo da via Carnovali,,,,"(45.6871, 9.6712)"
03520170513193072,Bergamo, CARDUCCI parcheggio Auchan,,,,"(45.6879, 9.6502)"
03520170513083573,Bergamo, VIA STEZZANO area servizio Q8,,,,"(45.6601, 9.6572)"
03520170513092074,Bergamo, VIA SPINO parcheggio eurospin,,,,"(45.6822, 9.6668)"
03520170513114075,Bergamo, L.GO TIRONI all'intersezione con CANIANA,,,,"(45.6867, 9.6627)"
03520170512074576,Bergamo, VIA BELLINI V. all'intersezione semaforizzata con VIA MATTIOLI,,,,"(45.6938, 9.6306)"
