ID,TipoPersona,Sesso,TipoLesione
3804762,Conducente,M,Illeso
3804762,Conducente,M,Illeso
3804762,Conducente,M,Illeso
3804764,Conducente,F,Rimandato
3804764,Conducente,F,Rimandato
3804765,Passeggero,F,Illeso
3804765,Conducente,F,Illeso
3804765,Passeggero,F,Illeso
3804765,Passeggero,M,Illeso
3804765,Conducente,M,Illeso
3804766,Conducente,F,Illeso
3804766,Conducente,F,Illeso
3804773,Conducente,M,Illeso
3804773,Conducente,M,Illeso
3804792,Conducente,M,Illeso
3804792,Conducente,F,Rimandato
3804792,Conducente,F,Illeso
3804793,Conducente,M,Rimandato
3804796,Conducente,M,Illeso
3804796,Conducente,M,Rimandato
3804812,Conducente,F,Illeso
3804812,Conducente,M,Illeso
3804815,Conducente,F,Illeso
3804815,Conducente,F,Illeso
3804821,Conducente,M,Illeso
3804821,Conducente,F,Illeso
3804821,Passeggero,F,Illeso
3804821,Passeggero,F,Illeso
3804825,Conducente,M,Illeso
3804825,Conducente,M,Illeso
3804834,Conducente,M,Illeso
3804834,Conducente,M,Illeso
3804834,Conducente,F,Illeso
3804835,Conducente,M,Illeso
3804835,Conducente,M,Illeso
3804835,Passeggero,M,Illeso
3804843,Conducente,M,Ricoverato
3804843,Passeggero,F,Illeso
3804843,Conducente,M,Illeso
3804852,Conducente,M,Illeso
3804852,Passeggero,M,Illeso
3804864,Conducente,M,Illeso
3804864,Conducente,F,Rimandato
3804877,Conducente,M,Illeso
3804877,Conducente,M,Illeso
3804887,Conducente,M,Illeso
3804887,Conducente,M,Illeso
3804890,Conducente,M,Illeso
3804890,Conducente,M,Illeso
3804894,Conducente,M,Illeso
3804894,Passeggero,F,Illeso
3804894,Passeggero,M,Illeso
3804894,Conducente,M,Illeso
3804894,Passeggero,M,Illeso
3804899,Conducente,M,Illeso
3804899,Passeggero,M,Illeso
3804899,Conducente,M,Illeso
3804908,Pedone,M,Rimandato
3804908,Conducente,M,Illeso
3804911,Conducente,M,Illeso
3804925,Conducente,M,Rimandato
3804925,Passeggero,F,Ricoverato
3804929,Conducente,M,Illeso
3804929,Conducente,M,Illeso
3804929,Passeggero,M,Illeso
3804935,Conducente,M,Illeso
3804935,Conducente,M,Rimandato
3804982,Conducente,M,Illeso
3804985,Conducente,M,Illeso
3804985,Conducente,M,Illeso
3804987,Conducente,F,Illeso
3804993,Conducente,F,Illeso
3804995,Conducente,F,Illeso
3805003,Conducente,F,Illeso
3805008,Conducente,M,Illeso
3805010,Conducente,F,Illeso
3805013,Conducente,M,Illeso
3805013,Conducente,F,Illeso
3805014,Pedone,F,Rimandato
3805014,Conducente,M,Illeso
3805015,Conducente,M,Ricoverato
3805015,Passeggero,F,Rimandato
3805018,Conducente,M,Illeso
3805018,Conducente,M,Illeso
3805025,Conducente,M,Illeso
3805033,Conducente,M,Illeso
3805033,Conducente,M,Illeso
3805033,Passeggero,F,Illeso
3805033,Conducente,M,Illeso
3805037,Conducente,M,Illeso
