ID,Modello,Targa,Tipo veicolo
3667205,Autovettura privata,,
3667214,Autovettura privata,,
3667214,Autovettura privata,,
3667224,Autovettura privata,,
3667224,Motociclo a solo,,
3667563,Autovettura privata,,
3667563,Autovettura privata,,
3667563,Autovettura privata,,
3667564,Autovettura privata,,
3667564,Autovettura privata,,
3667564,Autovettura privata,,
3667564,Autovettura privata,,
3667564,Autovettura privata,,
3667568,Autovettura privata,,
3667568,Autovettura privata,,
3667570,Autovettura privata,,
3667639,,,
3667639,Autovettura privata,,
3667639,Autovettura privata,,
3667639,Autovettura privata,,
3667639,Motociclo a solo,,
3667655,Autovettura privata,,
3667655,Autovettura privata,,
3667655,Autocarro inferiore 35 q.,,
3667674,Autovettura privata,,
3667674,Autovettura privata,,
3667674,Autovettura privata,,
3667674,Autovettura privata,,
3667674,Motociclo a solo,,
3667674,Motociclo a solo,,
3667676,Autovettura privata,,
3667676,Autovettura privata,,
3667719,,,
3667719,Autovettura privata,,
3667765,Motociclo a solo,,
3667765,Autovettura privata,,
3667765,Autovettura privata,,
3667765,Autovettura privata,,
3667790,Autocarro inferiore 35 q.,,
3667790,Autovettura privata,,
3667820,Autovettura privata,,
3667820,Motociclo a solo,,
3667830,Autovettura di polizia,,
3667830,Autovettura di polizia,,
3667840,Altro,,
3667840,Altro,,
3667840,Altro,,
3667840,Altro,,
3667840,Autovettura privata,,
3667858,Autovettura privata,,
3667858,Autovettura privata,,
3667858,Autovettura privata,,
3667861,,,
3667861,Autovettura privata,,
3667903,Autovettura privata,,
3667903,Motociclo a solo,,
3667909,Autovettura privata,,
3667909,Autovettura privata,,
3667937,Autovettura privata,,
3667937,Autovettura privata,,
3667972,Quadriciclo leggero,,
3667972,Quadriciclo leggero,,
3668011,Autovettura privata,,
3668011,Autovettura privata,,
3668067,Autovettura privata,,
3668133,Motociclo a solo,,
3668133,Motociclo a solo,,
3668145,Autovettura privata,,
3668145,Autovettura privata,,
3668169,Autovettura privata,,
3668169,Autovettura privata,,
3668183,Autovettura privata,,
3668204,Autovettura privata,,
3668204,Autovettura privata,,
3668204,Autovettura privata,,
3668204,Autovettura privata,,
3668210,Autovettura privata,,
3668222,Autovettura privata,,
3668222,Autovettura privata,,
3668222,Autovettura privata,,
3668222,Autovettura privata,,
3668222,Autovettura privata,,
3668226,Autovettura privata,,
3668226,Autovettura privata,,
3668226,Autovettura privata,,
3668226,Autovettura privata,,
3668255,Autovettura privata,,
3668255,Autovettura privata,,
3668255,Autovettura privata,,
3668276,Autovettura privata,,
3668276,Autovettura privata,,
3668277,Autovettura privata,,
3668277,Autovettura privata,,
3668277,Autovettura privata,,
3668279,,,
3668279,Autovettura privata,,
3668279,Autovettura privata,,
3668282,Autovettura privata,,
3668282,Autovettura privata,,
3668368,Autovettura privata,,
3668368,Autovettura privata,,
3668368,Autovettura privata,,
3668368,Autovettura privata,,
3668662,Autovettura privata,,
3668662,Autovettura privata,,
3668662,Autovettura privata,,
3668662,Autovettura privata,,
3668673,Autovettura privata,,
3668673,Autovettura privata,,
3668673,Autovettura privata,,
3668678,Autovettura privata,,
3668684,Autovettura privata,,
3668684,Autovettura privata,,
3668696,Autovettura privata,,
3668696,Autovettura privata,,
3668696,Motociclo a solo,,
3668703,Autovettura privata,,
3668727,Autovettura privata,,
3668778,Autovettura privata,,
3668791,Autovettura privata,,
3668791,Autovettura privata,,
3668791,Autovettura privata,,
3668795,Autovettura privata,,
3668807,Autovettura privata,,
3668820,Autovettura privata,,
3668820,Autovettura privata,,
3668820,Autovettura privata,,
3668826,,,
3668826,Motociclo a solo,,
3668829,Autovettura privata,,
3668829,Autovettura privata,,
3668834,Autovettura privata,,
3668834,Autovettura privata,,
3668850,Autovettura privata,,
3668850,Autovettura privata,,
3668850,Autovettura privata,,
3668850,Autovettura privata,,
3668850,Autovettura privata,,
3668854,Motociclo a solo,,
3668871,Autovettura privata,,
3668871,Velocipede,,
3668891,Autovettura privata,,
3668891,Motociclo con passeggero,,
3668912,Autovettura privata,,
3668912,Motociclo a solo,,
3668935,,,
3668935,Autovettura privata,,
3668935,Autovettura privata,,
3668935,Autovettura privata,,
3669026,Autovettura privata,,
3669026,Autocarro inferiore 35 q.,,
3669049,Autovettura privata,,
3669049,Autovettura privata,,
3669052,Autovettura privata,,
3669052,Autocarro inferiore 35 q.,,
3669062,,,
3669062,Autovettura privata,,
3669066,Autovettura privata,,
3669066,Autovettura privata,,
3669095,Autovettura privata,,
3669095,Autovettura privata,,
3669095,Autovettura privata,,
3669110,Autovettura privata,,
3669110,Autovettura privata,,
3669113,Autovettura privata,,
3669113,Autovettura privata,,
3669113,Autovettura privata,,
3669113,Autovettura privata,,
3669113,Autovettura privata,,
3669120,Autovettura privata,,
3669132,Autovettura privata,,
3669132,Autovettura privata,,
3669132,Autovettura privata,,
3669166,Autovettura privata,,
3669166,Autovettura privata,,
3669170,Autovettura privata,,
3669170,Autovettura privata,,
3669170,Autovettura privata,,
