ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
0352017123120200,Bergamo, VIA BIANZANA all'intersezione con VIA SERASSI,,,,"(45.7048, 9.6929)"
0352017123123551,Bergamo, VIALE PAPA GIOVANNI XXIII chiesa delle grazie,,,,"(45.6938, 9.6712)"
0352017123013202,Bergamo, VIA PALEOCAPA all'intersezione semaforizzata con VIA QUARENGHI,,,,"(45.6896, 9.6692)"
0352017123017403,Bergamo, VIA SAN GIOVANNI BOSCO all'intersezione con VIA BONOMELLI G.,,,,"(45.6889, 9.6704)"
0352017122914154,Bergamo, S.P. EX 671  in corrispondenza della chilometrica6.2,,,,"(45.6755, 9.6747)"
0352017122912305,Bergamo, VIALE DELLE MURA .,,,,"(45.7022, 9.6653)"
0352017122907156,Bergamo, VIA ORIO all'intersezione con ROTATORIA VIA PER ORIO,,,,"(45.6774, 9.6848)"
0352017122912257,Bergamo, SS671 svincolo nuovo ospedale direzione Curno,,,,"(45.681, 9.6367)"
0352017122819058,Bergamo, VIA PINAMONTE DA BREMBATE all'intersezione con VIA BONO B.,,,,"(45.6942, 9.6823)"
0352017122820009,Bergamo, VIA PAPA LEONE XIII in prossimità del civico n.2,,,,"(45.7093, 9.6942)"
03520171228163010,Bergamo, VIA SAN BERNARDINO in corrispondenza del civico n.73,,,,"(45.6857, 9.6626)"
03520171228151011,Bergamo, AUTOSTRADA all'intersezione con ROTATORIA AUTOSTRADA,,,,"(45.6781, 9.6697)"
03520171228135012,Bergamo, VIA SAN GIOVANNI BOSCO in prossimità del civico n.49,,,,"(45.6815, 9.6794)"
03520171228220013,Bergamo, S.P. 671 in corrispondenza della chilometrica6.4,,,,"(45.6753, 9.6768)"
03520171228131514,Bergamo, VIA BROSETA all'intersezione con VIA VELA,,,,"(45.6931, 9.656)"
03520171227161515,Bergamo, VIA BORGO SANTA CATERINA all'intersezione con VIA CELESTINI,,,,"(45.7052, 9.6811)"
